step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-rollout_corr/training_log_ppl_step
1,0.677503751844845,0.6782138072296806
2,0.6550327939710214,0.6585922119518122
3,0.6629858150423228,0.670410366667496
4,0.6565607511546723,0.6522147220723769
5,0.6703841590213697,0.6699510926846415
6,0.6203487945927515,0.6280081578553086
7,0.6218355405879648,0.6170525319972321
8,0.6337474028151187,0.6214607658330351
9,0.6187685905497963,0.6086583363690546
10,0.5672952505792009,0.5646393129315515
11,0.5681877141638147,0.563019072701191
12,0.563987743947655,0.5515020835195102
13,0.5258373577214246,0.4992733699892058
14,0.5514038089735835,0.503788492388346
15,0.5381924333050847,0.5130684876016207
16,0.5371702485920294,0.508613986485615
17,0.5248839218508115,0.4918460633140057
18,0.4936090586706996,0.4827202579104587
19,0.4967445554004775,0.4904539864510298
20,0.4964421657579286,0.47322577619925144
21,0.49230694465148145,0.47640003788432006
22,0.4643607490624373,0.4134530634996859
23,0.4779237104443515,0.4366770313170395
24,0.4817334963498931,0.42529384755632943
25,0.4492911345472461,0.4130015135987809
26,0.4562021060051714,0.4147277446463704
27,0.4647993971371934,0.4163883818313479
28,0.4640376615737165,0.40612783746268505
29,0.4496049225507748,0.38963385709585285
30,0.44735609079223304,0.3890197429715133
31,0.4628078580080044,0.404352622594507
32,0.4321658636908978,0.36751394303039064
33,0.4478913057329399,0.3640406902524687
34,0.4472819481577192,0.3641434152654949
35,0.4264184847873237,0.34202151949561777
36,0.4405448266933131,0.3650396247069503
37,0.40272902487777174,0.3553937099253138
38,0.4100272872632271,0.3547769207997542
39,0.4101058708776425,0.35511252257440773
40,0.3878568066761662,0.33652098071761427
41,0.40600393762494,0.36113876227016856
42,0.3905916582186555,0.33497741513419893
43,0.37245676238936454,0.32528802541243595
44,0.37722645487104145,0.33128293028566985
45,0.384226415771991,0.34220241369413473
46,0.36710999406329015,0.3379037829115987
47,0.3487008871976286,0.3215479885227978
48,0.3566183234099298,0.3260053095813745
49,0.33188959718681876,0.303360027579091
50,0.3396934055674233,0.30411326575558634
51,0.3193889297299871,0.2864444275888113
52,0.3191378168565663,0.2769218435333598
53,0.3125846041366458,0.29042078559286894
54,0.32677535015309966,0.2967205113243489
55,0.3200274779484039,0.30166607895599945
56,0.32096098084002733,0.29289195382790195
57,0.30543057262701423,0.28322406387887894
58,0.29495083287890467,0.2812984447278406
59,0.28486698935739696,0.27431216197278857
60,0.30961704566808684,0.2836728434167093
61,0.2982536442577839,0.27527582103555853
62,0.28402382865346765,0.2731622476620894
63,0.26825566050645555,0.2567501868886341
64,0.2820989129767339,0.2609269310696385
65,0.26534766856676495,0.24295868522419437
66,0.25882210412160744,0.23009740289999173
67,0.2620668639190113,0.2385181550776995
68,0.23540133887313697,0.2135101996705328
69,0.23943335447693245,0.2185577468946576
70,0.24402537737041713,0.21827350203928195
71,0.25688580935820937,0.22612427396234125
72,0.26513332033121007,0.2369982692413032
73,0.24519669690635057,0.21331772034203533
74,0.23388843672970933,0.2100071572841933
75,0.23695857434843975,0.21300970804632496
76,0.24959119918142875,0.215756680464181
77,0.2289720449507946,0.19882699876048027
78,0.2323409943353562,0.19951931816503043
79,0.2239768292222704,0.2029772994241544
80,0.21706179930784164,0.19224447164780056
81,0.21712000459042743,0.18875761126123725
82,0.22100818570612407,0.19591434611938896
83,0.2176373942141853,0.1944966151024259
84,0.2062319616149915,0.18172583805862816
85,0.2060820178705312,0.18268227484077215
86,0.1937478922773153,0.17600533385051503
87,0.19500086496118457,0.1794284116587646
88,0.19171489812433715,0.1758074102524136
89,0.19147707081653856,0.16977552101227708
90,0.1836517162044488,0.1671053872032221
91,0.1882054496374799,0.16892792990741629
92,0.18351299091794548,0.16724638893113783
93,0.18564803407686511,0.1715337396491059
94,0.192292108488757,0.1721039700122284
95,0.1721453050103707,0.1563711069147324
96,0.17311596763985498,0.14675920851930807
97,0.1867026376671025,0.16756113448591772
98,0.1849914962159736,0.16498301479788055
99,0.17777777039869266,0.1539161228796556
100,0.17506332424957127,0.15404390409679675
101,0.17477958871140364,0.15610802874813767
102,0.1734202782002588,0.1551467375802098
103,0.1613780643757699,0.14182873293092207
104,0.17380421441525984,0.1477345242252341
105,0.16476653114353357,0.14545735513399305
106,0.1643952837065709,0.13924901836170728
107,0.16421777580928226,0.1434917410259091
108,0.15857611507886932,0.13460779412915663
109,0.15252860730817153,0.12747121118203117
110,0.1595554980227635,0.1316248578036071
111,0.1580705184578186,0.1360642195767945
112,0.1490494761711512,0.1274574561124077
113,0.15485908551856356,0.1391242491192229
114,0.1489825475340088,0.13218808074348737
115,0.1438129618597616,0.1316987098359344
116,0.14795516435766504,0.13648069837257604
117,0.13713957564905285,0.1255402311549655
118,0.14309674926193022,0.13082381063027354
119,0.1402064513055269,0.13287479219337303
120,0.13708619600352406,0.12664453810014364
121,0.13849140760222717,0.12962401078491495
122,0.13270197813177392,0.11807233946941172
123,0.13274802825236248,0.12023313282761812
124,0.12929627745920286,0.12028446042030635
125,0.12782284970744512,0.1214282677649672
126,0.1339082782311986,0.12180949082936754
127,0.12470287535106764,0.11730674672871828
128,0.12170358698122294,0.11398944751126693
129,0.1235557003168478,0.11811254654700558
130,0.121744301944008,0.12040380414427174
131,0.1276393181954821,0.12010827285650356
132,0.11731865877906482,0.1148539471429434
133,0.11741260125944834,0.11479584526651623
134,0.11581736207673592,0.1152345168714722
135,0.11956820537357828,0.1195384475350794
136,0.12216943419641918,0.121184249302711
137,0.10778796926717318,0.10380042517896404
138,0.11022566113388166,0.10811926221330873
139,0.118090503802523,0.11732067232734936
140,0.11751368890206018,0.1131332265266048
141,0.11121799483918016,0.10593647182815603
142,0.1093407349768453,0.10851982801354358
143,0.11187149416768878,0.10893796379190632
144,0.11544241792580578,0.11698721124346112
145,0.10976240806921853,0.10884619689419528
146,0.1161326854323436,0.11820586792503796
147,0.11433046838889518,0.11218156732502392
148,0.1060368471563135,0.10482723619012782
149,0.10350747870440344,0.10075947653967889
150,0.10772060321178288,0.10544355017631206
151,0.1110819090390578,0.10614640408505996
152,0.10508993663825096,0.09996711198029862
153,0.10650843612440838,0.10330529400777198
154,0.1045250244482997,0.1014718615812146
155,0.10877961507237448,0.10341413256140763
156,0.10393306135949563,0.09832026186102832
157,0.10677862093434667,0.09787218626032965
158,0.1045295994774234,0.0974490373734046
159,0.11078255446400584,0.1028147514046974
160,0.10454284593634797,0.09057049002084468
161,0.1028738029750197,0.08816270814429078
162,0.10662875214475206,0.09339063743986614
163,0.10411367479927564,0.0896223796169377
164,0.10394850930952956,0.09330103522568772
165,0.1049061887897551,0.09506657225253104
166,0.09937810715997504,0.09075707478526358
167,0.10429284473733476,0.0950476751868548
168,0.09997355684551389,0.08778936389652597
169,0.09689627710031344,0.0864535874300977
170,0.09971138291958984,0.08886898838935177
171,0.09867298020413372,0.08552578710141065
172,0.09889036791123958,0.08917262025901841
173,0.09767314365890342,0.09047066554194316
174,0.0935636603639328,0.08556333241437603
175,0.10026773618443346,0.09055672684529176
176,0.09781587908964424,0.08787453573776557
177,0.09932337233331054,0.08781786356915042
178,0.09833058334003328,0.09063394766093956
179,0.0948621925566667,0.08365738145816563
180,0.09284006709349342,0.08326696178465638
181,0.10054215572599788,0.08674909727544419
182,0.09554848348353664,0.08154064409124355
183,0.09402018253292356,0.08163205318652961
184,0.0949123540421857,0.0832210892390105
185,0.09821324731882024,0.08520639889651317
186,0.0967341033741832,0.08231328098225363
187,0.10006265675183386,0.08985110682393002
188,0.09893818571369842,0.08794208226026967
189,0.0927867570426315,0.08031558298819659
190,0.09901826559854228,0.08486986424670451
191,0.0940108095422726,0.08472164330811685
192,0.09347899238779316,0.08174279221954445
193,0.0926576529690508,0.08014236953617497
194,0.09233167012081885,0.08191403008126856
195,0.0966846084239234,0.08391199786141938
196,0.09594658876360372,0.08252736796963622
197,0.09385723446321208,0.07698307211235673
198,0.09572550649648871,0.08266697463642975
199,0.0891639943362125,0.07697532549473392
200,0.09558093688628148,0.08037756544708403
201,0.08943428965231273,0.07841263437810334
202,0.09804563371422276,0.08207207228141752
203,0.09854337299901356,0.08393007568189535
204,0.0971604550352574,0.08334192042556507
205,0.09733973251564836,0.08366417926477476
206,0.09465813665741646,0.08024929522864774
207,0.09380293759473024,0.07987277971220796
208,0.09593159491355022,0.08390194944933885
209,0.09697326914093264,0.0839414961413819
210,0.09156349755357952,0.07984534166905138
211,0.09394330846492288,0.08184239134295948
212,0.09441342228923792,0.08241997425599645
213,0.08910741978219118,0.08069846268399092
214,0.08931696910930928,0.08153987988201983
215,0.09176793249136564,0.08090620157203043
216,0.09208323269310156,0.08132460276311677
217,0.09014989285995915,0.0825770206645959
218,0.09460474304135212,0.08409327511338795
219,0.08877089357702062,0.08071517129175608
220,0.09054338825600489,0.08212189699280198
221,0.09183459451222528,0.08153501907710303
222,0.08997747770891609,0.07999260945992623
223,0.09086484418159152,0.0809835838811958
224,0.09114537559018084,0.07721573218662778
225,0.09333425597684585,0.0849061912867119
226,0.09111564995587935,0.08371065022251771
227,0.08878545662654297,0.07990084279639026
228,0.09085515068930596,0.08492178384356362
229,0.09063116053055804,0.07914440085248012
230,0.08996942195937865,0.08197961100472176
231,0.09460097399735172,0.08544688205195902
232,0.09328130025162616,0.08564596599899232
233,0.08848052233089368,0.07809731366274798
234,0.09443605894644168,0.08230706523982403
235,0.09127702729689868,0.08168243784457446
236,0.08727865159602427,0.07625656224959328
237,0.08901688763095687,0.08042795811374874
238,0.09264059662331588,0.0800418608317462
239,0.09420060366921296,0.08554947709935545
240,0.09012402165908276,0.0799829758546801
241,0.08917058678343892,0.07954066844346622
242,0.08774092936005747,0.07781845463298098
243,0.09224785172740337,0.0843943425619121
244,0.08880529123381142,0.07856135253931154
245,0.08958643290409168,0.08296426258981228
246,0.08830527276732028,0.08288764782249927
247,0.08748349097246925,0.07986727054715934
248,0.08756515791728384,0.08118565139644172
249,0.0915955796901306,0.0818535247983943
250,0.08994834320831366,0.08072858235669977
251,0.08352832766051019,0.07290655591919937
252,0.08915228429991243,0.08108452687572155
253,0.08950378548996966,0.07844914024462923
254,0.0880317017890331,0.07881950289269703
255,0.08826248205353528,0.07629273373685364
256,0.08594399075289921,0.07673583983220547
257,0.08831223023922316,0.07833398731789834
258,0.08548574320905442,0.07384897211190075
259,0.08820785476439974,0.07702921797728936
260,0.09044310945041832,0.07784339714271482
261,0.08806329637411095,0.07932228671173411
262,0.08363992819660018,0.07386056920222472
263,0.0871730488181735,0.07577822342864238
264,0.08589854554511697,0.07578300094536068
265,0.08610006304330786,0.07926295340439538
266,0.08927967937382743,0.0793713196394585
267,0.08561726267881958,0.07755794400303706
268,0.08872877305257135,0.07526137546455074
269,0.09057609852198968,0.07923232516496564
270,0.08502343746963455,0.07624263744652668
271,0.09023554301495816,0.07911244802642614
272,0.08728565114312047,0.07757902073111231
273,0.08751318950228215,0.07754205029535419
274,0.09120185889552758,0.07990770638571121
275,0.08615867220214568,0.07682955413474701
276,0.08696613673375742,0.07792415076013035
277,0.08908834750764072,0.0833917633164674
278,0.0876841505361331,0.07723940044040016
279,0.08572292359682118,0.07651794610865181
280,0.09192110583270816,0.08166503778079014
281,0.09005409938150219,0.07776542247787195
282,0.08726449047851309,0.0749414240757081
283,0.08448562791519282,0.07542301315348596
284,0.08225807820313744,0.07308969629111187
285,0.08607841220509727,0.07485568922857055
286,0.08564809067692195,0.07488255535718054
287,0.08634829251095652,0.07594875181093812
288,0.08628465184692022,0.07604419691488147
289,0.08464312450219454,0.07507565788691864
290,0.08475445327878167,0.07242651560855115
291,0.08574718396385136,0.07227313994779253
292,0.08726135246944046,0.07270175466081127
293,0.08957344045602651,0.07434223682386801
294,0.0877871685018384,0.07175122493878006
295,0.08708144688862376,0.07332002912762062
296,0.08527977540242401,0.07042377768317237
297,0.0870144797100996,0.07201592238647314
298,0.08514529511532082,0.07191705665386774
299,0.08460069368482523,0.07052851879503577
300,0.08163176850013604,0.06919255357363499
