step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-training/rollout_actor_probs_pearson_corr_step
1,0.9997338056564332,0.9996833205223083
2,0.9997122287750244,0.9997113347053528
3,0.9996924996376038,0.9996756315231324
4,0.9996795058250428,0.9996805787086488
5,0.9996929168701172,0.999682068824768
6,0.9996641278266908,0.9995316863059998
7,0.999664843082428,0.9996564388275146
8,1,0.9997061491012572
9,0.9996848702430724,0.999661147594452
10,0.9996647834777832,0.999668300151825
11,0.9996671080589294,0.9996309876441956
12,0.9996486306190492,0.9996750354766846
13,0.9996300339698792,0.9996450543403624
14,0.9995927214622498,0.9996683597564696
15,0.9996541142463684,0.9996266961097716
16,0.9996175169944764,0.999608874320984
17,0.9996284246444702,0.9996140003204346
18,0.9996156096458436,0.999617636203766
19,0.9996068477630616,0.999756157398224
20,0.9999600648880004,0.9996102452278136
21,0.9996073246002196,0.9996206760406494
22,0.9996163249015808,0.999578893184662
23,0.9996002316474916,0.9996151328086852
24,0.9995980262756348,0.9995763897895812
25,0.999567449092865,0.9995843172073364
26,0.9996407628059388,0.9995816349983216
27,0.9995957016944884,0.9995768666267396
28,0.9996201992034912,0.9997574090957642
29,0.9996164441108704,0.9995486736297609
30,0.9995858669281006,0.9995481967926024
31,0.9995588660240172,0.9995559453964232
32,0.9995525479316713,0.9995437264442444
33,0.9995547533035278,0.99953293800354
34,0.9995696544647216,1
35,0.9995546340942384,0.9995418787002563
36,0.9995601177215576,0.9995347261428832
37,0.999541163444519,0.9995533227920532
38,0.9995599389076232,0.9995275139808656
39,0.999535858631134,0.9995362162590028
40,0.9995271563529968,0.9995844960212708
41,0.999500572681427,0.9995214939117432
42,0.9995157718658448,0.9995307326316832
43,0.9995071291923524,0.999601662158966
44,0.9995113015174866,0.9995138049125672
45,0.999507486820221,0.9994964003562928
46,0.9995071291923524,0.999527096748352
47,0.9995045065879822,0.9995103478431702
48,0.9994587898254396,0.9994909167289734
49,0.9994702339172364,0.9995051622390748
50,0.9994893074035645,0.9994837641716005
51,0.9994590282440186,0.99936181306839
52,0.999458074569702,0.9995675086975098
53,0.999461591243744,0.999463438987732
54,0.9994522929191588,0.9990218281745912
55,0.9994264841079712,0.9994612336158752
56,0.999436855316162,0.999468207359314
57,0.9994221925735474,0.9994421005249025
58,0.9994415044784546,0.999435007572174
59,0.999373495578766,0.9994365572929382
60,0.9990800619125366,0.9994226694107056
61,0.9993801712989808,0.9994718432426452
62,0.9993948936462402,0.9994102120399476
63,0.999366283416748,0.9993820786476136
64,0.9994068145751952,0.9993597269058228
65,0.9993654489517212,0.9993558526039124
66,0.999403953552246,0.9991620182991028
67,0.9986433386802672,0.9993774890899658
68,0.9992992877960204,0.9993138313293456
69,0.9993227124214172,0.9992773532867432
70,0.9993435740470886,0.9993721842765808
71,0.999337375164032,0.9992908239364624
72,0.999292254447937,0.9994981288909912
73,0.9992946982383728,0.9992679953575134
74,0.999286413192749,0.9993247389793396
75,0.9992868900299072,0.9993054866790771
76,0.99928480386734,0.9992727637290956
77,0.9992756247520448,0.9992562532424928
78,0.9992039799690248,0.9993202090263368
79,0.9992458820343018,0.9992545247077942
80,0.9992451071739196,0.9992046356201172
81,0.9990373849868774,0.9991978406906128
82,0.9992219805717468,0.9991949200630188
83,0.9991986751556396,0.9991986751556396
84,0.9991921782493592,0.9991852045059204
85,0.9991910457611084,0.9991914629936218
86,0.9991050958633424,0.9988223314285278
87,0.9991489052772522,0.99918794631958
88,0.9991254210472108,0.9992001056671144
89,0.9991551041603088,0.9994504451751708
90,0.9980462789535522,0.9990293383598328
91,0.9987870454788208,0.9992945790290833
92,0.9990954399108888,0.9991401433944702
93,0.9990083575248718,0.9991154670715332
94,0.9990713596343994,0.9991050958633424
95,0.999012291431427,0.999088168144226
96,1,0.9990615248680116
97,0.998996078968048,0.9990103840827942
98,1,0.9989902973175048
99,0.9990378022193908,0.9990587830543518
100,0.9993552565574646,0.9990728497505188
101,0.9989936351776124,0.9990213513374328
102,0.9990150928497314,0.9989964365959167
103,0.9989365339279176,0.9989303946495056
104,1,0.99897563457489
105,0.9988773465156556,1
106,0.9989235997200012,0.998933970928192
107,0.9989805221557616,0.9988929629325868
108,0.9989312291145324,0.9989725351333618
109,0.9989241361618042,0.9988334774971008
110,0.9989911913871764,0.998836100101471
111,0.9988524317741394,0.9988442063331604
112,0.9988210797309875,0.9988033175468444
113,0.998749315738678,0.9988453388214112
114,0.9989608526229858,0.9988536834716796
115,0.9988192915916444,0.9987014532089232
116,0.9988197088241576,0.9988762736320496
117,0.9987400770187378,0.9987850785255432
118,0.9987991452217102,0.9987722635269164
119,0.9986265301704408,0.998802363872528
120,0.99876070022583,0.9987516403198242
121,0.9986505508422852,0.9987345933914183
122,0.9999112486839294,0.9986839890480042
123,0.9986788034439088,0.9985842704772948
124,0.998616635799408,0.9986749887466432
125,0.9985694885253906,0.998776912689209
126,0.9985408186912536,0.9986187219619752
127,0.9985196590423584,0.9986149668693542
128,0.998563289642334,0.9985194206237792
129,0.998519241809845,0.999336004257202
130,0.9985140562057496,0.998562514781952
131,0.9985252022743224,0.998352825641632
132,0.9984400868415833,0.9985362887382508
133,0.9984338283538818,0.9985463619232178
134,0.9984914660453796,0.9985532164573668
135,0.9985674619674684,0.9972069263458252
136,0.9984198212623596,0.9985008239746094
137,0.9983219504356384,0.998374044895172
138,0.9983152151107788,0.9984496235847472
139,0.998293399810791,0.9984533190727234
140,0.9983953833580016,0.9984391927719116
141,0.9971999526023864,0.998436450958252
142,0.9982389211654664,0.9984225630760192
143,0.9971905946731568,0.998433530330658
144,0.9982101321220398,0.9977483749389648
145,0.9972043633461,0.9984256625175476
146,0.9981735348701476,0.9984720945358276
147,0.9981913566589355,0.9984129667282104
148,0.9980833530426024,0.9982336163520812
149,0.9980517029762268,0.9982231259346008
150,0.9980384707450868,0.9984062314033508
151,0.9980618357658386,0.9980101585388184
152,0.998082995414734,0.998164176940918
153,0.9979859590530396,0.9982154369354248
154,0.9979713559150696,0.9981696009635924
155,0.9980151653289796,0.9970359802246094
156,0.9979885220527648,0.9980943202972412
157,0.9988998174667358,0.998132586479187
158,0.9969194531440736,0.9980342984199524
159,0.9979563355445862,0.9980778694152832
160,0.9979779720306396,0.9979941248893738
161,0.9979520440101624,0.9979166984558104
162,0.9979302883148192,0.9979596138000488
163,0.9987465739250184,0.9978492259979248
164,0.997956395149231,0.9979925751686096
165,0.9979223012924194,0.9979772567749025
166,0.9978514313697816,0.9978528022766112
167,0.998034656047821,0.998111128807068
168,0.9977698922157288,0.9977847337722778
169,0.9977609515190125,0.9975900053977966
170,0.9980308413505554,0.9978829622268676
171,0.996623992919922,0.9977814555168152
172,0.9977524280548096,0.9978386163711548
173,0.997585952281952,0.9978910684585572
174,0.9978308081626892,0.997813880443573
175,0.9977650046348572,0.9978535175323486
176,0.9987974166870116,0.9978606104850768
177,0.9977622628211976,0.99772047996521
178,0.9966461658477784,0.9977462291717528
179,0.9976888298988342,0.9976013898849488
180,0.9976360201835632,0.997548758983612
181,0.9977105855941772,0.997782588005066
182,0.997917652130127,0.997568130493164
183,0.9975825548171996,0.9975696802139282
184,0.997314751148224,0.9976264834403992
185,0.9977074861526488,0.9977523684501648
186,0.9981465339660645,0.9975325465202332
187,0.9978570342063904,0.997725546360016
188,0.9976181387901306,0.998073160648346
189,0.9975664019584656,0.997576117515564
190,0.9976025819778442,0.9979734420776368
191,0.9965168833732604,0.9976000785827636
192,0.9976446032524108,0.9975444674491882
193,0.997836172580719,0.9974616765975952
194,0.9975167512893676,0.997458517551422
195,0.9983691573143004,0.9974459409713744
196,0.9975749850273132,0.9974548816680908
197,0.9975576996803284,0.9973741769790648
198,0.9975398182868958,0.9975560307502748
199,0.9975205063819884,0.997374713420868
200,0.9976850152015686,0.9974912405014038
201,0.9974687099456788,0.9974451661109924
202,0.9974988102912904,0.9974364042282104
203,0.997529149055481,0.997539222240448
204,0.9975149035453796,0.9979267716407776
205,0.997563660144806,0.9976476430892944
206,0.9975762367248536,0.9978007078170776
207,0.9976018071174622,0.9974474906921388
208,0.9983185529708862,0.9961093664169312
209,0.9975901246070862,0.9974536895751952
210,0.9975394010543824,0.9974981546401978
211,0.9976242780685424,0.9975669384002686
212,0.9974282383918762,0.9974210858345032
213,0.997392475605011,0.9976317286491394
214,0.9973993897438048,0.9975488185882568
215,0.9974110722541808,0.997507393360138
216,0.9973081946372986,0.9974175691604614
217,0.9987735152244568,0.9975094795227052
218,0.9975032806396484,0.9974865913391112
219,0.9973731637001038,0.9974875450134276
220,0.9975050687789916,0.9974796175956726
221,0.9975056648254396,0.9973968267440796
222,0.9974243640899658,0.997472882270813
223,0.9973517060279846,0.9974732398986816
224,0.9974161982536316,0.9974688291549684
225,0.997395932674408,0.9977432489395142
226,0.9974932074546814,0.9975718855857848
227,0.9969633221626282,0.9974175095558168
228,0.9973689913749696,0.9976218342781068
229,0.9974100589752196,0.9959046840667723
230,0.9974662661552428,0.9975562691688538
231,0.9973626136779784,0.9975809454917908
232,0.9973016381263732,0.9974247217178344
233,0.9973797798156738,0.997350573539734
234,0.9973095059394836,0.9974107146263124
235,0.9974263906478882,0.9972941875457764
236,0.9973108172416688,0.9974246621131896
237,0.997705101966858,0.9974892735481262
238,0.9974138140678406,0.9974312782287598
239,0.9974077343940736,0.9988382458686828
240,0.9973416924476624,0.9972599148750304
241,0.9973198771476746,0.9974669218063354
242,0.9973023533821106,0.9973340630531312
243,0.997323215007782,0.9975064396858216
244,0.996947944164276,0.997362732887268
245,0.997619092464447,0.9974610805511476
246,0.9969375133514404,0.9974874258041382
247,0.997282326221466,0.997458517551422
248,0.9974256753921508,0.997494637966156
249,0.9972484707832336,0.9975951313972472
250,0.9972042441368104,0.9974574446678162
251,0.9971725940704346,0.9972615838050842
252,0.997319519519806,0.9978049993515016
253,0.9971330165863036,0.9973186254501344
254,0.9971649646759032,0.9973408579826356
255,0.9972821474075316,0.9972937107086182
256,0.9972264170646667,0.997322916984558
257,0.9972553849220276,0.9971118569374084
258,0.9971606135368348,0.9972596168518066
259,0.9972596764564514,0.9972721338272096
260,0.9973149299621582,0.9972363710403442
261,0.9972530603408812,0.9973318576812744
262,0.9972540736198424,0.997309148311615
263,0.997235119342804,0.9972142577171326
264,0.9972959756851196,0.9973090291023254
265,0.997285783290863,0.9974507689476012
266,0.9971873760223388,0.997456669807434
267,0.99728262424469,0.9972761869430542
268,0.9973875880241394,0.9973312616348268
269,0.9987009167671204,0.9973235726356506
270,0.995777428150177,0.9973044991493224
271,0.9972485303878784,0.9972312450408936
272,0.997249960899353,0.9968824982643129
273,0.9970996379852296,0.9971824884414672
274,0.9971715211868286,0.9972882270812988
275,0.9972305297851562,0.99738609790802
276,0.9971668124198914,0.9972978830337524
277,0.9975354671478271,0.9974927306175232
278,0.9972580671310424,0.9972471594810486
279,0.9986502528190612,0.9973057508468628
280,0.9971852898597716,0.9973757266998292
281,0.997237503528595,0.9973719120025636
282,0.9971861839294434,0.9976805448532104
283,0.9972270727157592,0.997330129146576
284,0.9971668124198914,0.9972084760665894
285,0.9972482323646544,0.997155487537384
286,0.998574674129486,0.9972787499427797
287,0.9972909092903136,0.9972082376480104
288,0.9970863461494446,0.9973228573799132
289,0.9972111582756042,0.9972295165061952
290,0.9972183108329772,0.9966757297515868
291,0.9954105615615844,0.9966707825660706
292,0.9971572756767272,0.9971307516098022
293,0.997266173362732,0.997227907180786
294,0.9975591897964478,0.996975600719452
295,0.9971891045570374,0.9970035552978516
296,0.995548129081726,0.9971193075180054
297,0.9972882270812988,0.9975152611732484
298,0.9971166253089904,0.9971295595169068
299,0.9970961213111876,0.996920645236969
300,0.9970901012420654,0.9970534443855286
