step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-response_length/mean_step
1,6197.1357421875,6130.9443359375
2,6485.53125,6510.6474609375
3,6393.7353515625,6453.4892578125
4,6206.4208984375,6218.1064453125
5,5843.0068359375,5780.923828125
6,6376.263671875,6177.6865234375
7,6351.2060546875,6195.5263671875
8,5964.54296875,5382.1396484375
9,5802.5107421875,4828.056640625
10,5962.23046875,4569.05078125
11,6431.7958984375,4541.4375
12,6231.5048828125,3753.216796875
13,6214.23046875,3252.42578125
14,5968.791015625,2478.076171875
15,6024.146484375,1930.0224609375
16,6304.3271484375,1560.0322265625
17,5820.69921875,1441.158203125
18,5935.0634765625,1282.95703125
19,6042.9755859375,1509.84375
20,6029.1904296875,1481.5302734375
21,5933.13671875,1459.6044921875
22,5887.404296875,1495.744140625
23,6170.6201171875,1648.2646484375
24,5962.6298828125,1627.771484375
25,5867.998046875,1729.037109375
26,5952.6044921875,1751.744140625
27,6149.89453125,1859.4013671875
28,6109.916015625,1745.28125
29,5693.1376953125,1758.16796875
30,5917.1943359375,1848.63671875
31,5998.0732421875,1877.1552734375
32,5936.07421875,1979.4013671875
33,5938.4013671875,1983.4560546875
34,5981.4794921875,1913.5283203125
35,5802.650390625,1933.3291015625
36,5891.83984375,2113.322265625
37,5525.203125,1946.8154296875
38,5411.484375,1804.7607421875
39,5693.59375,1976.111328125
40,5543.7109375,2041.19921875
41,5827.671875,2053.7802734375
42,5919.3583984375,2021.708984375
43,5859.0625,2189.1572265625
44,5698.8046875,2093.68359375
45,5965.478515625,2243.5625
46,5663.9208984375,2005.3681640625
47,5626.94140625,2131.734375
48,5486.7001953125,2042.6298828125
49,5462.3984375,2153.8017578125
50,5369.7255859375,2006.8447265625
51,5209.826171875,2089.0087890625
52,5310.625,2117.4931640625
53,5194.453125,2052.201171875
54,5665.5712890625,2246.865234375
55,5599.466796875,2124.19921875
56,5764.8671875,2110.0400390625
57,5013.369140625,2067.15625
58,5732.2373046875,2297.6943359375
59,5648.921875,2305.1689453125
60,5794.0361328125,2244.7509765625
61,5766.2021484375,2321.548828125
62,5049.294921875,2115.3330078125
63,5426.7734375,2307.0849609375
64,5149.0283203125,2081.7216796875
65,5471.244140625,2189.6650390625
66,5247.435546875,2196.98828125
67,5302.150390625,2186.0771484375
68,4870.197265625,2193.9521484375
69,5212.208984375,2256.576171875
70,5142.48828125,2230.720703125
71,5362.3662109375,2196.763671875
72,5352.6259765625,2211.2578125
73,5192.2470703125,2079.939453125
74,5275.0185546875,2291.1728515625
75,4982.8154296875,2287.4169921875
76,4936.482421875,2100.701171875
77,4922.8212890625,2356.1884765625
78,5012.5,2321.4443359375
79,5030.4208984375,2310.3759765625
80,4815.5703125,2183.900390625
81,4983.7880859375,2321.2646484375
82,4852.244140625,2248.4755859375
83,4853.1767578125,2203.5947265625
84,4732.904296875,2162.830078125
85,5209.44140625,2359.263671875
86,4864.779296875,2215.798828125
87,4857.5751953125,2254.509765625
88,5002.3193359375,2156.064453125
89,5072.8671875,2292.6474609375
90,4913.1328125,2225.6162109375
91,4692.0556640625,2187.7216796875
92,4989.8994140625,2375.2578125
93,4580.5966796875,2140.958984375
94,4757.0166015625,2106.208984375
95,4407.87890625,2100.2333984375
96,4499.564453125,2274.361328125
97,4540.09765625,2142.330078125
98,4719.2802734375,2131.4912109375
99,4622.9326171875,2223.2109375
100,4345.9111328125,2131.3857421875
101,4660.23828125,2186.5634765625
102,4548.068359375,2133.8662109375
103,4387.4296875,2136.94921875
104,4204.427734375,1894.3671875
105,4085.353515625,1879.0830078125
106,4653.91015625,2256.6826171875
107,4793.611328125,2266.634765625
108,4394.4423828125,2147.4580078125
109,4508.875,2345.626953125
110,4728.3525390625,2352.27734375
111,4473.572265625,2300.7099609375
112,4187.48828125,2096.1044921875
113,4779.3076171875,2408.8095703125
114,4291.71484375,2331.9501953125
115,4396.9892578125,2289.3310546875
116,4860.025390625,2535.873046875
117,4225.7529296875,2268.859375
118,4411.40234375,2335.2509765625
119,4882.3818359375,2531.291015625
120,4489.4892578125,2349.1552734375
121,4536.5859375,2342.224609375
122,4315.6103515625,2257.26953125
123,4282.75,2156.568359375
124,4607.4501953125,2393.94921875
125,4232.69140625,2257.822265625
126,4284.9736328125,2295.2109375
127,3823.748046875,2078.3330078125
128,3882.408203125,2136.5302734375
129,4196.7763671875,2269.8369140625
130,4585.1328125,2556.2861328125
131,4360.755859375,2404.6875
132,4151.7939453125,2459.921875
133,4128.7412109375,2385.333984375
134,3905.4716796875,2384.3251953125
135,4654.4814453125,2614.2451171875
136,4365.296875,2571.9228515625
137,4272.3408203125,2476.09765625
138,3672.9951171875,2242.560546875
139,3927.9951171875,2394.97265625
140,4223.099609375,2535.771484375
141,4031.3193359375,2504.8359375
142,3917.7919921875,2358.1787109375
143,3920.1845703125,2458.552734375
144,3820.703125,2421.046875
145,3744.9140625,2315.427734375
146,3994.9765625,2565.396484375
147,4289.2333984375,2648.6083984375
148,3810.150390625,2552.5048828125
149,3921.1220703125,2535.3203125
150,3730.8916015625,2383.4716796875
151,4210.328125,2707.42578125
152,3563.712890625,2394.5693359375
153,4103.2548828125,2655.3798828125
154,4028.8154296875,2562.1318359375
155,3751.51171875,2417.7607421875
156,3771.3427734375,2527.279296875
157,4132.6884765625,2521.00390625
158,3820.3486328125,2470.3623046875
159,3663.470703125,2338.107421875
160,3754.5146484375,2434.7734375
161,3735.3466796875,2462.4755859375
162,3640.62890625,2252.599609375
163,3607.1142578125,2273.56640625
164,3658.755859375,2264.359375
165,3317.9755859375,2189.548828125
166,3491.796875,2303.533203125
167,3609.248046875,2267.6650390625
168,3608.4150390625,2345.3935546875
169,3409.6982421875,2234.8212890625
170,3726.513671875,2312.6044921875
171,3593.9775390625,2364.0390625
172,3839.697265625,2405.78515625
173,3576.73046875,2253.1357421875
174,3617.390625,2401.94140625
175,3577.6796875,2242.9404296875
176,3577.154296875,2278.2734375
177,3378.8955078125,2291.52734375
178,3751.5361328125,2555.2412109375
179,3502.4990234375,2431.5625
180,3255.2158203125,2282.9501953125
181,3533.6796875,2381.11328125
182,3620.09375,2496.38671875
183,3660.7314453125,2493.08984375
184,3307.6240234375,2375.3095703125
185,3572.9990234375,2470.8251953125
186,3297.564453125,2328.1044921875
187,3470.4560546875,2430.0517578125
188,3806.580078125,2663.525390625
189,3655.77734375,2542.5205078125
190,3666.1669921875,2593.974609375
191,3584.234375,2716.767578125
192,3690.171875,2728.3134765625
193,3589.42578125,2585.0576171875
194,3751.046875,2695.3466796875
195,3326.7939453125,2578.8408203125
196,3317.79296875,2562.3095703125
197,3110.169921875,2426.0146484375
198,3412.349609375,2742.5908203125
199,3435.5283203125,2643.0078125
200,3422.2861328125,2673.6005859375
201,3349.50390625,2682.08984375
202,3329.6630859375,2702.90625
203,3322.8037109375,2705.5361328125
204,3409.5,2798.8330078125
205,3255.470703125,2695.5849609375
206,3283.421875,2705.337890625
207,3148.65625,2668.2060546875
208,3470.919921875,2830.3837890625
209,3301.556640625,2650.9013671875
210,3609.3359375,3002.2890625
211,3239.953125,2799.5205078125
212,3312.232421875,2850.54296875
213,3395.39453125,2914.2265625
214,3273.4482421875,2855.197265625
215,3071.05078125,2649.4267578125
216,3108.2197265625,2745.537109375
217,3154.224609375,2819.431640625
218,3493.0029296875,2989.9443359375
219,3360.5283203125,2898.900390625
220,3163.548828125,2823.1728515625
221,3135.4873046875,2835.16015625
222,3180.904296875,2959.560546875
223,3250.3955078125,2923.7421875
224,2868.7626953125,2677.37890625
225,3133.47265625,2935.15625
226,3135.6875,2798.8349609375
227,3113.212890625,2784.927734375
228,3298.9970703125,2826.025390625
229,3188.0380859375,2914.025390625
230,3341.390625,3042.904296875
231,3004.453125,2744.775390625
232,3164.62109375,2855.4326171875
233,3145.7333984375,2743.74609375
234,3142.3349609375,2717.96484375
235,2867.6767578125,2651.67578125
236,2920.099609375,2600.150390625
237,3074.0859375,2719.7490234375
238,3042.990234375,2599.7548828125
239,3255.748046875,2701.85546875
240,3101.0341796875,2664.2763671875
241,3001.2236328125,2627.3447265625
242,3087.9951171875,2637.126953125
243,3101.517578125,2693.984375
244,2899.8994140625,2542.3115234375
245,3166.892578125,2707.412109375
246,3358.177734375,2966.0078125
247,2901.0732421875,2706.6865234375
248,2889.2392578125,2625.0517578125
249,2940.1962890625,2737.1689453125
250,3188.9306640625,2816.1943359375
251,2942.677734375,2784.04296875
252,3048.298828125,2952.1142578125
253,2928.3251953125,2744.162109375
254,2715.263671875,2525.8798828125
255,2868.4140625,2609.6982421875
256,2864.3818359375,2662.4951171875
257,2916.4306640625,2680.19921875
258,2828.69921875,2595.40625
259,2934.60546875,2600.90625
260,2809.0078125,2592.3916015625
261,2824.22265625,2644.1533203125
262,2854.4091796875,2625.458984375
263,3068.099609375,2757.2939453125
264,3013.4169921875,2742.65234375
265,2953.4296875,2734.626953125
266,2984.376953125,2737.9375
267,2835.720703125,2676.0400390625
268,2691.9052734375,2469.1533203125
269,2836.9111328125,2570.78515625
270,2858.86328125,2676.744140625
271,2819.724609375,2765.5283203125
272,3065.1728515625,2802.6181640625
273,2845.775390625,2660.4931640625
274,2808.0009765625,2557.90234375
275,2867.341796875,2652.3427734375
276,2917.1064453125,2731.328125
277,3123.3369140625,2876.3935546875
278,2815.9423828125,2739.5849609375
279,2869.298828125,2723.623046875
280,2882.6728515625,2777.66796875
281,2787.06640625,2621.810546875
282,2723.3544921875,2563.3076171875
283,3148.265625,2892.9111328125
284,3043.169921875,2819.5478515625
285,2546.76953125,2409.3525390625
286,3033.3173828125,2886.53125
287,2970.900390625,2783.2763671875
288,2852.7509765625,2664.224609375
289,2993.517578125,2868.490234375
290,2805.8427734375,2655.9853515625
291,2851.2275390625,2728.380859375
292,2682.7109375,2548.2490234375
293,2807.0634765625,2654.22265625
294,2834.853515625,2801.8896484375
295,2520.1875,2497.578125
296,2896.8564453125,2667.7041015625
297,3014.2734375,2877.2294921875
298,2829.236328125,2642.4189453125
299,2691.751953125,2590.5576171875
300,2876.36328125,2654.1435546875
