step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-rollout_corr/training_ppl_step
1,1.9694238901138303,1.9775422811508179
2,1.9760509729385376,1.9700173139572144
3,2.0300307273864746,2.0262467861175537
4,1.9507184028625488,1.947884440422058
5,1.9966989755630489,1.9858384132385256
6,1.8993515968322752,1.893608570098877
7,1.951974630355835,1.9346859455108645
8,1.948138952255249,1.9060074090957642
9,2.011352062225342,1.9458632469177248
10,1.9357938766479492,1.8315829038619995
11,1.979379653930664,1.8394804000854492
12,1.9572136402130127,1.7664549350738523
13,1.8693439960479736,1.677139401435852
14,1.858825445175171,1.624067783355713
15,1.9732335805892944,1.634202241897583
16,1.9488650560379028,1.6456408500671391
17,1.9229116439819336,1.5982825756072998
18,1.868873715400696,1.5607948303222656
19,1.9496634006500244,1.5380775928497314
20,1.957868814468384,1.550539255142212
21,1.9811762571334839,1.5372390747070312
22,1.8560404777526855,1.4935520887374878
23,1.9503796100616455,1.5268220901489258
24,1.936474323272705,1.5152103900909424
25,1.852421283721924,1.4812813997268677
26,1.8561495542526243,1.4917669296264648
27,1.9228613376617432,1.4850867986679075
28,1.9315165281295776,1.4884480237960815
29,1.91557776927948,1.4683274030685425
30,1.8129063844680784,1.4770822525024414
31,1.9075090885162351,1.4885469675064087
32,1.9135425090789795,1.465273380279541
33,1.8861082792282104,1.4848194122314449
34,1.9038618803024292,1.4892408847808838
35,1.9064276218414309,1.4490715265274048
36,1.9263513088226318,1.4872820377349854
37,1.8306330442428589,1.4637320041656494
38,1.8961429595947263,1.4678349494934082
39,1.9158070087432861,1.491774320602417
40,1.8638596534729004,1.4629836082458496
41,1.9866186380386353,1.5160809755325315
42,1.8761156797409055,1.477717638015747
43,1.8439924716949463,1.4572185277938845
44,1.8658463954925537,1.4859167337417605
45,1.8800365924835205,1.4993571043014526
46,1.8638050556182861,1.4689970016479492
47,1.8804810047149656,1.4624077081680298
48,1.8943119049072263,1.4762226343154907
49,1.872653603553772,1.4593663215637207
50,1.8761900663375857,1.4660996198654177
51,1.7473812103271484,1.4358669519424438
52,1.7853606939315796,1.4339991807937622
53,1.8286073207855225,1.458524465560913
54,1.8835138082504272,1.4750488996505735
55,1.8612016439437864,1.4985358715057373
56,1.866845726966858,1.4978413581848145
57,1.8879624605178833,1.4707934856414795
58,1.8743149042129517,1.4805678129196167
59,1.8419060707092283,1.4738537073135376
60,1.9899951219558716,1.5224368572235107
61,1.8859851360321045,1.4986401796340942
62,1.8948004245758057,1.4803341627120972
63,1.7815343141555786,1.460920810699463
64,1.867176413536072,1.4921687841415403
65,1.8365914821624756,1.4602463245391846
66,1.7814356088638306,1.4505929946899414
67,1.8441654443740845,1.4698680639266968
68,1.7475820779800415,1.420425295829773
69,1.770005464553833,1.4329471588134766
70,1.8477931022644043,1.44583261013031
71,1.807011365890503,1.468501329421997
72,1.9341715574264529,1.4950393438339231
73,1.8751630783081057,1.4629921913146973
74,1.8214057683944704,1.4592478275299072
75,1.8460429906845093,1.45906400680542
76,1.8902487754821775,1.4902641773223877
77,1.8333470821380615,1.4587128162384029
78,1.7947524785995483,1.4694353342056274
79,1.8613665103912351,1.4711041450500488
80,1.7504701614379885,1.4477765560150146
81,1.7898343801498413,1.4626884460449219
82,1.8953840732574463,1.4823435544967651
83,1.824271321296692,1.4780967235565186
84,1.8012607097625732,1.447153091430664
85,1.827536940574646,1.455658197402954
86,1.8038429021835327,1.446662187576294
87,1.7739357948303225,1.444295883178711
88,1.8071001768112185,1.442917823791504
89,1.7795099020004272,1.4344675540924072
90,1.7746365070343018,1.4400616884231567
91,1.7650222778320312,1.4497623443603516
92,1.7982333898544312,1.438376545906067
93,1.793582558631897,1.4470502138137815
94,1.8181217908859253,1.4589238166809082
95,1.7979755401611328,1.423103094100952
96,1.760406732559204,1.4076457023620603
97,1.7506320476531982,1.4238224029541016
98,1.8127617835998535,1.4367096424102783
99,1.7574561834335327,1.4024128913879397
100,1.7335846424102783,1.4095922708511353
101,1.7912200689315796,1.4179381132125854
102,1.8312010765075684,1.4326776266098022
103,1.7570056915283203,1.403144121170044
104,1.7483086585998535,1.4146404266357422
105,1.7592843770980835,1.414015293121338
106,1.775984287261963,1.4187726974487305
107,1.761602759361267,1.4311816692352295
108,1.7249560356140137,1.4042481184005735
109,1.7401137351989746,1.3934383392333984
110,1.769222617149353,1.409027099609375
111,1.798622965812683,1.426040768623352
112,1.7688536643981934,1.4150407314300537
113,1.781639814376831,1.4385430812835691
114,1.8330833911895752,1.4107764959335327
115,1.7740510702133179,1.4148834943771362
116,1.853667140007019,1.4309115409851074
117,1.7549155950546265,1.4017679691314695
118,1.8011364936828609,1.4331309795379639
119,1.7651830911636353,1.4179433584213257
120,1.7073074579238892,1.4040790796279907
121,1.7684223651885986,1.4247856140136719
122,1.7189229726791382,1.3887028694152832
123,1.7227133512496948,1.4038305282592771
124,1.7993509769439695,1.4017186164855957
125,1.77102792263031,1.4130289554595947
126,1.7703319787979126,1.414452075958252
127,1.7845491170883179,1.3973804712295532
128,1.7366933822631836,1.404427409172058
129,1.7711288928985596,1.4096221923828125
130,1.8300191164016724,1.4303040504455566
131,1.8058487176895144,1.4345496892929075
132,1.7914481163024902,1.413264513015747
133,1.7408338785171509,1.405814290046692
134,1.767449140548706,1.4060949087142944
135,1.7454493045806885,1.4290869235992432
136,1.7939666509628296,1.4478038549423218
137,1.6883234977722168,1.3906662464141846
138,1.6949758529663086,1.400897741317749
139,1.8086037635803225,1.4455198049545288
140,1.7472513914108276,1.4420274496078491
141,1.7162209749221802,1.4186110496520996
142,1.696484923362732,1.4081480503082275
143,1.7424238920211792,1.435098648071289
144,1.7958141565322876,1.4491400718688965
145,1.7169867753982544,1.4284980297088623
146,1.8196203708648682,1.4856042861938477
147,1.7753738164901731,1.4835000038146973
148,1.7081642150878906,1.4706060886383057
149,1.70289146900177,1.4567089080810551
150,1.755521535873413,1.498108148574829
151,1.7884589433670044,1.5277049541473389
152,1.7280635833740234,1.4827603101730351
153,1.7658705711364746,1.5042482614517212
154,1.7150912284851074,1.4895713329315186
155,1.7741360664367676,1.4953992366790771
156,1.7753888368606567,1.4815826416015625
157,1.8179683685302737,1.5144548416137695
158,1.7466070652008057,1.483877420425415
159,1.810238003730774,1.5191378593444824
160,1.7061083316802979,1.4613085985183716
161,1.7556982040405271,1.476973295211792
162,1.744737982749939,1.4797031879425049
163,1.7244086265563965,1.4597952365875244
164,1.7312681674957275,1.4679181575775146
165,1.8236236572265625,1.4474836587905884
166,1.7227545976638794,1.4345042705535889
167,1.806779623031616,1.4617805480957031
168,1.7132316827774048,1.4301286935806274
169,1.7000715732574463,1.415856122970581
170,1.7834733724594116,1.4434881210327148
171,1.7096176147460938,1.425552487373352
172,1.7349482774734497,1.4390051364898682
173,1.7483899593353271,1.4343301057815552
174,1.7342392206192017,1.4097920656204224
175,1.728104591369629,1.4371315240859983
176,1.7435786724090576,1.4366649389266968
177,1.7414515018463137,1.4432814121246338
178,1.7303190231323242,1.4378890991210938
179,1.7118964195251465,1.429537057876587
180,1.6879582405090332,1.4256551265716553
181,1.7274197340011597,1.4416735172271729
182,1.7361772060394287,1.4323512315750122
183,1.7581678628921509,1.4310648441314695
184,1.7013044357299805,1.4114311933517456
185,1.7022171020507812,1.4298560619354248
186,1.7080802917480469,1.410667896270752
187,1.7806578874588013,1.4325885772705078
188,1.7968859672546391,1.4345616102218628
189,1.6812800168991089,1.3922882080078125
190,1.764304518699646,1.434964656829834
191,1.7368216514587402,1.4209843873977661
192,1.7212872505187988,1.4166080951690674
193,1.693995714187622,1.407961130142212
194,1.7399725914001465,1.4223705530166626
195,1.7896888256072998,1.444028377532959
196,1.7144660949707031,1.420745611190796
197,1.7044755220413208,1.4038453102111816
198,1.7397230863571167,1.4323108196258545
199,1.6844488382339478,1.4137065410614014
200,1.7241227626800537,1.427738904953003
201,1.7135217189788818,1.4174031019210815
202,1.7371752262115479,1.4501066207885742
203,1.7865592241287231,1.4558908939361572
204,1.7695600986480713,1.4576470851898191
205,1.7858742475509644,1.4636285305023191
206,1.7526400089263916,1.4375572204589844
207,1.7465577125549316,1.448245882987976
208,1.7684948444366455,1.4632158279418943
209,1.7465403079986572,1.4770456552505489
210,1.7580147981643677,1.4581773281097412
211,1.751726746559143,1.4744715690612793
212,1.7419322729110718,1.4623908996582031
213,1.6718316078186035,1.4478166103363037
214,1.715071678161621,1.4677733182907104
215,1.7292004823684692,1.4745335578918457
216,1.733003854751587,1.4570047855377195
217,1.713838815689087,1.4663623571395874
218,1.7731497287750244,1.5115950107574463
219,1.7610582113265991,1.4769207239151
220,1.7419602870941162,1.4938105344772339
221,1.7559280395507812,1.4903817176818848
222,1.702866792678833,1.4978992938995361
223,1.7123773097991943,1.4984021186828609
224,1.719764232635498,1.5009788274765017
225,1.749567985534668,1.5214496850967407
226,1.7115832567214966,1.5104352235794067
227,1.7344639301300049,1.4850387573242188
228,1.6920562982559204,1.4984105825424194
229,1.7340247631072998,1.511195421218872
230,1.7220585346221924,1.5063809156417851
231,1.7455109357833862,1.5232927799224854
232,1.7589213848114014,1.5364537239074707
233,1.7094630002975464,1.4833301305770874
234,1.7708253860473633,1.5022846460342407
235,1.7682194709777832,1.5097084045410156
236,1.6933165788650513,1.4536328315734863
237,1.7090221643447876,1.4673900604248051
238,1.7189340591430664,1.4724764823913574
239,1.7501647472381592,1.4900935888290403
240,1.6826778650283811,1.4609349966049194
241,1.7389334440231323,1.4688050746917725
242,1.7209843397140503,1.466453194618225
243,1.7646141052246094,1.520601511001587
244,1.7539927959442139,1.4978742599487305
245,1.7164299488067627,1.5144106149673462
246,1.7256827354431152,1.5259780883789062
247,1.7264652252197266,1.5091564655303955
248,1.711439847946167,1.5125799179077148
249,1.7282042503356934,1.5498751401901243
250,1.7348830699920654,1.5576486587524414
251,1.6769369840621948,1.5170949697494511
252,1.7454864978790283,1.5652095079421997
253,1.7369601726531982,1.5695774555206299
254,1.6966334581375122,1.5530327558517456
255,1.7361156940460205,1.5639774799346924
256,1.7389343976974487,1.5252264738082886
257,1.7215532064437866,1.5278631448745728
258,1.7137086391448977,1.5293333530426023
259,1.7424530982971191,1.5574630498886108
260,1.7551182508468628,1.5598421096801758
261,1.7326014041900637,1.5479787588119511
262,1.6829898357391355,1.5120220184326172
263,1.6802743673324585,1.5633103847503662
264,1.7309544086456299,1.5478991270065308
265,1.7174071073532104,1.5585803985595703
266,1.7107104063034058,1.5507960319519043
267,1.7096104621887207,1.5401206016540527
268,1.738671898841858,1.532320261001587
269,1.7006200551986694,1.554300308227539
270,1.7357348203659058,1.5554664134979248
271,1.7610905170440674,1.5767707824707031
272,1.703360676765442,1.5595316886901855
273,1.6827887296676636,1.5573434829711914
274,1.706358790397644,1.5561702251434326
275,1.7103253602981567,1.5312345027923584
276,1.7324978113174438,1.5512008666992188
277,1.6992120742797852,1.5624951124191284
278,1.7180430889129639,1.5370782613754272
279,1.6610125303268433,1.5246272087097168
280,1.7651091814041138,1.5975171327590942
281,1.7789431810379028,1.5780003070831299
282,1.6815539598464966,1.527235984802246
283,1.6927729845046997,1.5491344928741455
284,1.653616189956665,1.523966908454895
285,1.7071142196655271,1.528031349182129
286,1.7646738290786743,1.5592904090881348
287,1.7115917205810551,1.5327353477478027
288,1.7360780239105225,1.5428481101989746
289,1.6663389205932615,1.5133299827575684
290,1.7177832126617432,1.5325913429260254
291,1.697130799293518,1.5349997282028198
292,1.7004976272583008,1.532886028289795
293,1.7232784032821655,1.5532125234603882
294,1.7127594947814941,1.5432896614074707
295,1.7009817361831665,1.5258125066757202
296,1.6887931823730469,1.5229512453079224
297,1.7062243223190308,1.5354312658309937
298,1.7003549337387085,1.5154401063919067
299,1.665351152420044,1.5150235891342163
300,1.67239511013031,1.5023505687713623
