step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-training/rollout_actor_probs_pearson_corr_step
1,0.999677836894989,0.9996820092201232
2,0.999668538570404,0.9996888041496276
3,0.9997159838676452,0.9997164011001588
4,0.9996498227119446,0.99966561794281
5,0.9997018575668336,0.9997023344039916
6,0.9996696710586548,0.9993727803230286
7,0.9996724128723145,0.9996607899665833
8,0.999399721622467,0.9996883273124696
9,0.9996949434280396,0.9996731877326964
10,0.9997234344482422,0.9996753931045532
11,0.999718189239502,0.9996662139892578
12,0.999673306941986,0.9997023940086364
13,0.9997729659080504,0.9996417164802552
14,0.9996764063835144,0.9996420741081238
15,0.9996935129165648,0.999717116355896
16,0.999667763710022,0.9994333386421204
17,0.9997066259384156,0.9996179938316344
18,0.9996750950813292,0.9996936321258544
19,0.99973863363266,0.9996066093444824
20,0.9996697902679444,0.9995161294937134
21,0.9997027516365052,0.9995760321617126
22,0.9996747374534608,0.999616265296936
23,0.9996824860572816,0.99958074092865
24,0.9996994137763976,0.9995790719985962
25,0.9996654987335204,0.9995648264884948
26,0.9996466040611268,0.9995911717414856
27,0.9990075826644896,0.9995872974395752
28,0.9997062683105468,0.9995698928833008
29,0.9996964931488036,0.9995517730712892
30,0.9996185898780824,0.9995125532150269
31,0.9996905326843262,0.9995777010917664
32,0.999663472175598,0.9996230602264404
33,0.9996883273124696,0.9995625019073486
34,0.9996989965438844,0.9995718598365784
35,0.9998157024383544,0.9995754361152648
36,0.9996890425682068,0.9995763301849364
37,0.9996793270111084,0.9995655417442322
38,0.9997017979621888,0.9995906949043274
39,0.9996858239173888,0.9995743036270142
40,0.9996800422668456,0.9996072053909302
41,0.9997682571411132,0.999558448791504
42,0.9996633529663086,0.9994942545890808
43,0.9996954202651978,0.9996142387390136
44,0.99968421459198,0.9995628595352172
45,0.9995680451393129,0.9995511770248412
46,0.9996709227561952,0.999569833278656
47,0.9996609091758728,0.9995700716972352
48,0.9996622800827026,0.9995617866516112
49,0.9996810555458068,0.9995656609535216
50,0.9996662139892578,0.999585509300232
51,0.9996765851974488,0.9995558857917786
52,0.9996626377105712,0.9996234178543092
53,0.9996925592422484,0.9995517730712892
54,0.9996963143348694,0.9995497465133668
55,0.9996595978736876,0.999541699886322
56,0.999684751033783,0.9993996024131776
57,0.9996815323829652,0.9995477199554444
58,0.999525249004364,0.9990078806877136
59,0.9996699690818788,0.9995495676994324
60,0.9996891617774964,0.9995605945587158
61,0.9996821880340576,0.9995524883270264
62,0.9997102618217468,0.999565601348877
63,0.9996758103370668,0.9995468258857728
64,0.999684989452362,0.9995614290237428
65,0.9996811747550964,0.9995496273040771
66,0.9996846318244934,0.999540388584137
67,0.999634087085724,0.9995415210723876
68,0.999728500843048,0.999546766281128
69,0.999755322933197,0.999050498008728
70,0.9994858503341676,0.9995508790016174
71,0.9996607303619384,0.9995399117469788
72,0.9997110962867736,0.9995549917221068
73,0.9996781945228576,0.999548077583313
74,0.999730110168457,0.9997394680976868
75,0.9996649622917176,0.9995481967926024
76,0.9996740818023682,0.9995331168174744
77,0.999678075313568,0.9995210766792296
78,0.999498963356018,0.9995514154434204
79,0.999705731868744,0.999551236629486
80,0.9996768236160278,0.9995511174201964
81,0.9996749758720398,0.9995662569999696
82,0.9996817111968994,0.9995506405830384
83,0.9996581077575684,0.9995365738868712
84,0.9996836185455322,0.999597191810608
85,0.9996655583381652,0.9990170001983644
86,0.9996675848960876,0.9995297789573668
87,0.9996486306190492,0.9995170831680298
88,0.9996728897094728,0.9991890788078308
89,0.9997125267982484,0.9995189905166626
90,0.999686360359192,0.999519407749176
91,0.999666392803192,0.999524176120758
92,0.9996581077575684,0.9995242357254028
93,0.9996503591537476,0.999517261981964
94,0.9996697902679444,0.9995092749595642
95,0.999655783176422,0.9995251297950744
96,0.9996773600578308,0.9995251893997192
97,0.9996458292007446,0.999511182308197
98,0.9996761083602904,0.999508798122406
99,0.9996817111968994,0.9995083808898926
100,0.9996556639671326,0.9999227523803712
101,0.9996071457862854,0.9995083212852478
102,0.9996878504753112,0.9995881915092468
103,1,0.9995225071907043
104,0.9996570348739624,0.9994146227836608
105,0.9996572136878968,0.9995126128196716
106,0.9989011287689208,0.9994953274726868
107,0.9996615648269652,0.9995071887969972
108,0.9996848106384276,0.9994872212409972
109,0.9996628761291504,0.9995042085647584
110,0.999678373336792,0.9994961023330688
111,0.999621331691742,0.9994817972183228
112,0.9996830821037292,0.999488353729248
113,0.999649465084076,0.999515175819397
114,0.9997177124023438,0.9995103478431702
115,0.999689280986786,0.9994834065437316
116,0.9996752142906188,0.99950510263443
117,0.9996237754821776,0.9994961023330688
118,0.999645173549652,0.9997612833976746
119,0.9996703267097472,0.9994843006134032
120,0.9996529817581176,0.9994881749153136
121,0.999646008014679,0.9993916153907776
122,0.9996455907821656,0.9994853734970092
123,0.9996655583381652,0.999480962753296
124,0.9998096227645874,0.9994854927062988
125,0.9995916485786438,0.9994760155677797
126,0.9996768236160278,0.9994688034057616
127,0.9996452927589417,0.9994887709617616
128,0.9994162321090698,0.9995142817497252
129,0.9996729493141174,0.9994961023330688
130,0.9996551871299744,0.9994937777519226
131,0.9996603727340698,0.9994907379150392
132,0.9996704459190368,0.9995030760765076
133,0.9996464252471924,0.9994936585426332
134,0.999659538269043,0.9995266795158386
135,0.9996434450149536,0.9994884729385376
136,0.9996293187141418,0.9995034337043762
137,0.9996550679206848,0.9995073080062866
138,0.9996578693389891,0.9995075464248656
139,0.9996647834777832,0.9995445609092712
140,0.9994223117828368,0.9994975924491882
141,0.999669075012207,0.9997729659080504
142,0.999650537967682,0.999472439289093
143,0.9997910261154176,0.9995051622390748
144,0.9996433854103088,0.9994748830795288
145,0.9996553659439088,0.9994831085205078
146,0.9995967149734496,1
147,0.9996796250343324,0.9995224475860596
148,0.9996457099914552,0.9995113015174866
149,0.9998152852058412,0.9992861151695251
150,0.9996720552444458,0.9995346665382384
151,0.999647319316864,0.9995303750038148
152,0.9996547698974608,0.999010443687439
153,0.9996187090873718,0.999333679676056
154,0.9996461272239684,0.9995370507240297
155,0.999639928340912,0.99951434135437
156,0.999669075012207,0.9989538192749025
157,0.9996510744094848,0.999555766582489
158,0.9996510744094848,0.999512791633606
159,0.999698281288147,0.9994980692863464
160,0.9996412396430968,0.9993692636489868
161,0.9996570348739624,0.9995152354240416
162,0.9996569752693176,0.9994977712631226
163,0.9996353983879088,0.9995157718658448
164,0.99965238571167,0.9994937181472778
165,0.999661922454834,0.9991981387138368
166,0.99964702129364,0.9995691180229188
167,0.9997116923332214,0.9994985461235046
168,0.9996415972709656,0.9994983673095704
169,0.999649703502655,0.9994792938232422
170,0.9996702671051024,0.999430239200592
171,0.9996438026428224,0.9993889331817628
172,0.9996519684791564,0.9995198249816896
173,0.9996523261070251,0.9995278120040894
174,0.9996722936630248,0.9994922876358032
175,0.99964040517807,0.9995165467262268
176,0.9996647834777832,0.9994853734970092
177,0.999653458595276,0.9994587302207948
178,0.9996941089630128,0.9995038509368896
179,0.9999505281448364,0.9994867444038392
180,0.9996424317359924,0.9994911551475524
181,0.999606430530548,0.9994385242462158
182,0.9996744394302368,0.9995037317276
183,0.9996789693832396,0.9994799494743348
184,0.9996453523635864,0.999459147453308
185,0.9996362328529358,0.9994857907295228
186,0.999691605567932,0.9994807243347168
187,0.9996628165245056,0.999491274356842
188,0.9996520280838012,0.9994947910308838
189,0.999651312828064,0.9994599223136902
190,0.9996535778045654,0.99948388338089
191,0.9996482729911804,0.9994867444038392
192,0.9996567964553832,0.9995338320732116
193,0.999683916568756,0.999246060848236
194,0.9996453523635864,0.9994750022888184
195,0.999659299850464,0.9995248317718506
196,0.9996525049209596,0.9995044469833374
197,0.999637246131897,0.9991785883903505
198,0.9996479749679564,0.9995015859603882
199,0.9996508955955504,0.999488651752472
200,0.9996160268783568,0.9995050430297852
201,0.999626874923706,0.9994330406188964
202,0.9996304512023926,0.9995168447494508
203,0.999781847000122,0.999502658843994
204,0.9993883371353148,0.9995102882385254
205,0.9993724822998048,0.9994997382164
206,0.999667465686798,0.9995145201683044
207,0.9992157816886902,0.9995017647743224
208,0.999964714050293,0.9994890093803406
209,0.9996440410614014,0.99950510263443
210,0.9996522665023804,1
211,0.9996935129165648,0.9994513392448424
212,0.999643862247467,0.9994872212409972
213,0.9993151426315308,0.9995081424713136
214,0.9996603727340698,0.9994538426399232
215,0.9996626377105712,0.9994866251945496
216,0.9996511936187744,0.9995234608650208
217,0.9996452927589417,0.9997084140777588
218,0.999664545059204,0.9995192885398864
219,0.9995768666267396,0.9995083808898926
220,0.9993849396705629,0.9995155334472656
221,0.9996424913406372,1
222,0.9996477365493774,0.9995211958885192
223,0.9996524453163148,0.9995474219322203
224,0.9996192455291748,0.9993310570716858
225,0.9996365904808044,0.9995266795158386
226,0.999652624130249,0.9995189905166626
227,0.9996641278266908,0.9995118379592896
228,0.9996139407157898,0.9995059967041016
229,0.9996606707572936,0.999532163143158
230,0.9996459484100342,0.9995149970054626
231,0.9996485710144044,0.999515414237976
232,0.9996487498283386,0.9993810057640076
233,0.9996968507766724,0.9995001554489136
234,0.9996405243873596,0.9995055198669434
235,0.999649941921234,0.9994795322418212
236,0.9996569752693176,0.9995052218437196
237,0.9996328949928284,0.9994980096817015
238,0.9996423125267028,0.9996162056922911
239,0.9996486902236938,0.9994789958000184
240,0.9996576309204102,0.99946528673172
241,0.9996508955955504,0.9995187520980836
242,0.999957799911499,0.9994248747825624
243,0.9996587634086608,0.9994781613349916
244,0.999649941921234,0.999557375907898
245,0.9996498823165894,0.9995144009590148
246,0.9996477961540222,0.9994893074035645
247,0.999644100666046,0.9995031952857972
248,0.9996392726898192,0.99950510263443
249,0.9996383190155028,0.9995025992393494
250,0.9996358156204224,0.9995079636573792
251,0.9996559023857116,0.9995127320289612
252,0.9996885657310486,0.999481439590454
253,0.9993506669998168,0.9995290040969848
254,0.99964040517807,0.999544084072113
255,0.9996267557144164,0.999522626399994
256,0.9996500611305236,0.9995067715644836
257,0.9996411204338074,0.9995054602622986
258,0.999543309211731,0.99952495098114
259,0.9996572136878968,0.9996615052223206
260,0.9996480345726012,0.9990193247795104
261,0.99966299533844,0.999511420726776
262,0.999608874320984,0.9994905591011048
263,0.9996567368507384,0.9995527267456056
264,0.9996257424354552,1
265,0.9996421933174132,0.999502658843994
266,0.9996346831321716,0.9995050430297852
267,0.99955153465271,0.9995149970054626
268,0.9996400475502014,0.999500036239624
269,0.9996364712715148,0.9993867874145508
270,0.9996470808982848,0.9995049834251404
271,0.9996325373649596,0.9995181560516356
272,0.999628484249115,0.999515175819397
273,0.9995273351669312,0.9995176196098328
274,0.999641180038452,0.9995086193084716
275,0.9996387958526612,0.9995368719100952
276,0.9996654391288756,0.9995328783988952
277,0.9996394515037536,0.9993848204612732
278,0.9996366500854492,0.9995417594909668
279,0.9996453523635864,0.9990902543067932
280,0.9996312856674194,0.999519944190979
281,0.9996442794799804,0.9995260834693908
282,0.9996556043624878,0.9994657039642334
283,0.9996508359909058,0.9994178414344788
284,0.999648928642273,0.999691903591156
285,0.9996387958526612,0.9995170831680298
286,0.999630570411682,0.999528169631958
287,0.999664306640625,0.9995320439338684
288,0.9996403455734252,0.9995444416999816
289,0.9996843338012696,0.9997751712799072
290,0.9994460940361024,0.9995203018188475
291,0.9996392726898192,0.9995433688163756
292,0.9996449947357178,0.9999252557754515
293,0.9996383786201476,0.9995174407958984
294,0.999616265296936,0.9995324015617372
295,0.999638557434082,0.9995326995849608
296,0.9993433952331544,0.9995362162590028
297,0.9996085166931152,0.999484121799469
298,0.9996368288993835,0.9995225667953492
299,0.9996224641799928,0.9994633793830872
300,0.9996447563171388,0.9995253682136536
