step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-response_length/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-response_length/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-response_length/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-response_length/mean_step
1,5881.1572265625,5866.818359375,5905.529296875,5868.5146484375,5880.990234375,5839.373046875,6146.5205078125,6124.84375,6194.3291015625
2,5926.0029296875,6150.91015625,6226.6220703125,6232.984375,6082.521484375,6011.79296875,6377.111328125,6455.068359375,6397.458984375
3,6026.876953125,6270.736328125,6343.51171875,6297.30859375,6028.9638671875,6056.177734375,6417.9951171875,6429.0927734375,6358.5966796875
4,6261.4130859375,5979.384765625,5969.2138671875,6002.1455078125,6315.568359375,6325.4287109375,6226.3857421875,6200.2626953125,6242.01953125
5,6398.623046875,6153.7138671875,5960.1513671875,6124.96484375,6489.91015625,6473.9033203125,5879.7548828125,5803.3505859375,5664.443359375
6,5623.703125,6286.75390625,6089.0791015625,6257.501953125,5891.1640625,5921.6337890625,6277.404296875,6243.767578125,6133.19921875
7,5459.1181640625,6201.626953125,5726.03515625,6150.2021484375,5976.8203125,5917.2294921875,6313.7138671875,6427.1611328125,6097.2744140625
8,5450.1904296875,6126.0556640625,5479.8603515625,6168.4609375,6228.3994140625,6254.0927734375,5877.5986328125,5898.458984375,5097.4482421875
9,4695.455078125,6214.8671875,4938.064453125,6140.205078125,6080.5576171875,6024.83984375,5673.658203125,5685.1884765625,4527.7607421875
10,4176.2626953125,6101.6826171875,4381.3740234375,6157.1787109375,6179.3154296875,6153.3603515625,5732.7744140625,5798.501953125,4150.025390625
11,2954.7216796875,5733.6123046875,3270.8671875,5792.5576171875,5873.3037109375,5883.919921875,6291.5751953125,6177.6533203125,3884.3447265625
12,2536.1708984375,5830.91796875,2493.7138671875,5698.9716796875,6000.9599609375,5984.2880859375,5964.26953125,5960.080078125,3062.7978515625
13,1994.810546875,5701.9638671875,1835.99609375,5680.8486328125,6031.8056640625,5926.9248046875,5939.9072265625,5909.1767578125,2315.3017578125
14,1620.0869140625,5528.2509765625,1646.9091796875,5448.4111328125,5855.88671875,5830.5166015625,5495.0771484375,5509.373046875,1608.578125
15,1414.875,5650.2548828125,1605.17578125,5615.0576171875,5845.46484375,5739.455078125,5597.751953125,5458.685546875,1470.333984375
16,1321.2333984375,5619.822265625,1511.9970703125,5485.498046875,5210.7041015625,5167.6884765625,5469.0810546875,5529.8779296875,1447.357421875
17,1411.0751953125,4971.46875,1340.033203125,4866.9208984375,5071.1220703125,4888.3017578125,5106.4755859375,5016.7607421875,1521.0009765625
18,1543.1357421875,5263.0263671875,1513.73828125,5133.4501953125,5164.2646484375,5205.2509765625,4942.126953125,4835.26171875,1529.740234375
19,1861.1767578125,5209.0458984375,1767.8876953125,5194.841796875,5194.0751953125,5122.0546875,5107.751953125,4975.4326171875,1734.84765625
20,1916.107421875,4826.001953125,1754.625,4764.8515625,4987.03125,4779.685546875,4877.71484375,4664.8916015625,1796.873046875
21,1868.296875,4694.681640625,1868.3212890625,4529.28515625,4529.34765625,4199.931640625,4331.8818359375,4201.9697265625,1723.205078125
22,2144.0009765625,4649.740234375,1839.5078125,4370.453125,4793.59375,4342.427734375,4184.9658203125,4023.310546875,1768.11328125
23,2282.595703125,4479.5498046875,1948.251953125,4250.2412109375,4964.4970703125,4386.1044921875,4235.21484375,4025.37109375,1876.1962890625
24,2241.16796875,4057.294921875,1863.6005859375,3796.8251953125,4457.296875,3949.49609375,3760.1162109375,3651.2353515625,1837.46875
25,2149.681640625,4142.3330078125,2011.60546875,3759.1123046875,4105.333984375,3650.7412109375,3543.3173828125,3543.42578125,1959.9013671875
26,2397.04296875,3605.013671875,1916.9609375,3194.951171875,4067.953125,3646.0380859375,3551.1005859375,3448.1376953125,2038.34765625
27,2355.427734375,3794.443359375,2084.7158203125,3383.36328125,3611.955078125,3311.8173828125,3426.10546875,3495.7109375,2210.919921875
28,2443.25,3774.2587890625,2174.5498046875,3487.84375,3311.7060546875,3166.9189453125,3128.083984375,3167.24609375,2103.697265625
29,2042.9326171875,3708.4150390625,2268.822265625,3305.83984375,2718.265625,2637.8330078125,2841.283203125,2909.3681640625,2107.8154296875
30,2313.767578125,3227.5859375,2088.08203125,2904.7841796875,2843.484375,2688.2265625,2918.3291015625,2947.638671875,2195.396484375
31,2370.064453125,3302.0068359375,2251.4794921875,3044.826171875,2831.595703125,2809.423828125,2740.8837890625,2819.8544921875,2203.681640625
32,2282.408203125,2918.134765625,2163.0947265625,2685.5185546875,2436.77734375,2430.7626953125,2654.06640625,2728.4814453125,2273.9931640625
33,2366.9541015625,2992.7333984375,2263.072265625,2810.521484375,2425.8115234375,2528.43359375,2504.298828125,2480.603515625,2307.107421875
34,2346.38671875,2650.1220703125,2166.6337890625,2395.4609375,2171.0693359375,2333.5947265625,2309.4375,2280.1640625,2239.0283203125
35,2450.7001953125,3004.6962890625,2441.3232421875,2713.9794921875,2119.5458984375,2334.451171875,2297.392578125,2245.1611328125,2293.111328125
36,2354.240234375,2692.369140625,2298.6689453125,2476.787109375,1909.1982421875,2068.8232421875,2434.20703125,2285.2431640625,2550.9462890625
37,2596.068359375,2530.482421875,2363.2392578125,2310.1376953125,2009.7099609375,2185.216796875,2128.3623046875,2123.2802734375,2290.3154296875
38,2360.7724609375,2385.2392578125,2255.1044921875,2212.1953125,1863.6494140625,2030.046875,1977.837890625,1930.2685546875,2267.90234375
39,2335.6494140625,2372.39453125,2267.974609375,2167.9208984375,1811.9853515625,1906.6748046875,2049.0673828125,2130.1357421875,2463.080078125
40,2339.275390625,2228.443359375,2184.7666015625,1989.021484375,1817.8427734375,1899.1533203125,2053.390625,2194.6982421875,2450.7919921875
41,2487.6748046875,2551.6005859375,2417.6787109375,2250.724609375,1858.1728515625,1934.15234375,2067.8857421875,2100.4794921875,2485.9267578125
42,2402.3447265625,2209.53515625,2262.814453125,2067.638671875,1928.1884765625,1901.62109375,2119.8173828125,2230.513671875,2494.1044921875
43,2164.291015625,2161.056640625,2266.294921875,1974.1591796875,1849.208984375,1869.7841796875,2171.1484375,2333.96484375,2616.625
44,2321.2646484375,2384.7294921875,2488.3798828125,2273.2119140625,2149.5693359375,2026.1201171875,2126.8310546875,2285.41796875,2455.9716796875
45,2237.0283203125,2252.7734375,2395.9970703125,2121.03515625,2107.18359375,1994.00390625,2363.5986328125,2402.919921875,2614.228515625
46,2218.6455078125,2367.552734375,2567.06640625,2155.599609375,2166.990234375,2109.2734375,2063.9365234375,2158.7744140625,2369.9931640625
47,2227.951171875,2186.0693359375,2394.8818359375,2107.9873046875,2053.298828125,1979.490234375,2137.96484375,2264.6318359375,2416.37109375
48,2258.6865234375,2134.9384765625,2279.65625,1959.5556640625,2232.4169921875,2130.025390625,2176.0029296875,2184.767578125,2402.6220703125
49,2111.849609375,2462.8232421875,2579.9404296875,2202.619140625,2171.451171875,2173.744140625,2308.6376953125,2302.7490234375,2452.28515625
50,2214.1396484375,2538.68359375,2579.99609375,2264.5107421875,2321.091796875,2273.0439453125,2198.1728515625,2143.7578125,2367.9140625
51,2031.263671875,2542.46875,2534.6494140625,2221.37109375,2202.88671875,2164.091796875,2273.642578125,2182.7451171875,2379.3642578125
52,2050.755859375,2488.2294921875,2572.5517578125,2175.2646484375,2259.904296875,2225.6826171875,2346.9970703125,2325.7275390625,2416.04296875
53,2140.7177734375,2507.2099609375,2481.2177734375,2201.9345703125,2405.2587890625,2363.1337890625,2319.8564453125,2258.9912109375,2345.478515625
54,2104.0947265625,2352.2099609375,2463.1689453125,2036.048828125,2347.0986328125,2342.201171875,2466.05859375,2301.564453125,2581.8310546875
55,2104.728515625,2465.5810546875,2553.8515625,2168.21875,2392.1962890625,2380.86328125,2410.6572265625,2286.7861328125,2456.84375
56,2112.4482421875,2400.0361328125,2519.875,2169.59375,2424.8056640625,2473.23828125,2544.275390625,2320.482421875,2449.80859375
57,2297.25,2254.0576171875,2379.4111328125,2054.66796875,2580.416015625,2584.6728515625,2401.4375,2322.2646484375,2327.03125
58,2235.7001953125,2224.8486328125,2398.5048828125,2100.1875,2589.8642578125,2477.4873046875,2736.8525390625,2627.021484375,2660.048828125
59,2289.70703125,2279.9912109375,2436.796875,2117.0048828125,2624.9462890625,2539.5029296875,2650.0986328125,2536.109375,2569.10546875
60,2380.669921875,2331.8671875,2383.658203125,2167.9873046875,2694.8017578125,2652.671875,2700.46484375,2607.9921875,2532.0859375
61,2223.3154296875,2394.2314453125,2561.978515625,2306.3125,2532.2314453125,2611.466796875,2745.998046875,2577.3623046875,2608.2431640625
62,2227.0546875,2114.28515625,2262.1435546875,1964.947265625,2558.6083984375,2577.33984375,2544.4248046875,2392.109375,2327.6298828125
63,2299.3037109375,2213.3759765625,2403.6796875,2153.869140625,2528.033203125,2621.958984375,2717.0703125,2600.7529296875,2523.439453125
64,2341.17578125,2425.8828125,2538.8818359375,2346.8994140625,2680.244140625,2693.0517578125,2472.5771484375,2393.0458984375,2334.3740234375
65,2320.3505859375,2304.6552734375,2427.93359375,2246.5048828125,2590.23046875,2685.330078125,2639.6728515625,2471.744140625,2409.7470703125
66,2270.3994140625,2506.58984375,2554.53515625,2411.0009765625,2510.423828125,2551.671875,2537.1962890625,2473.248046875,2393.70703125
67,2262.734375,2282.830078125,2346.912109375,2177.2685546875,2489.9091796875,2541.1005859375,2591.896484375,2518.2138671875,2369.884765625
68,2360.5380859375,2478.453125,2587.7451171875,2473.3232421875,2620.298828125,2652.828125,2516.1708984375,2500.9580078125,2292.6435546875
69,2368.6787109375,2333.4482421875,2328.6201171875,2189.8837890625,2590.2333984375,2627.2587890625,2580.890625,2533.357421875,2381.6826171875
70,2299.5615234375,2534.021484375,2563.8662109375,2479.6044921875,2520.3935546875,2526.994140625,2510.01953125,2466.3916015625,2326.2880859375
71,2324.8427734375,2242.25390625,2307.2919921875,2229.3583984375,2521.1083984375,2547.4951171875,2548.771484375,2401.4228515625,2338.8115234375
72,2244.4912109375,2454.4931640625,2391.3662109375,2438.6181640625,2329.0751953125,2352.5732421875,2484.8896484375,2401.173828125,2359.6552734375
73,2298.3310546875,2403.8544921875,2398.3486328125,2444.869140625,2447.4716796875,2436.619140625,2391.1640625,2287.9482421875,2303.1220703125
74,2203.7001953125,2435.0263671875,2326.4638671875,2395.8017578125,2466.23828125,2320.5107421875,2592.4619140625,2470.6640625,2396.830078125
75,2224.8486328125,2386.0419921875,2247.5634765625,2385.8759765625,2494.5048828125,2395.8759765625,2452.810546875,2351.3876953125,2325.806640625
76,2292.71484375,2315.4951171875,2238.150390625,2345.138671875,2520.4384765625,2471.5322265625,2372.7880859375,2179.6962890625,2293.029296875
77,2374.7783203125,2354.5908203125,2226.1943359375,2392.2705078125,2624.7890625,2661.1357421875,2583.435546875,2474.1103515625,2475.044921875
78,2216.9169921875,2686.26171875,2529.072265625,2702.314453125,2462.638671875,2358.47265625,2429.626953125,2291.53515625,2395.51171875
79,2229.359375,2399.78515625,2316.640625,2390.767578125,2442.0185546875,2443.01953125,2484.142578125,2344.2880859375,2481.14453125
80,2452.6044921875,2505.091796875,2293.45703125,2470.01171875,2720.2353515625,2630.640625,2290.5625,2307.3115234375,2380.736328125
81,2322.7587890625,2569.8544921875,2343.3857421875,2640.2978515625,2496.87890625,2455.720703125,2492.064453125,2372.7919921875,2496.3837890625
82,2210.1220703125,2398.7255859375,2308.0087890625,2552.4521484375,2393.6845703125,2372.900390625,2353.3564453125,2322.71484375,2446.7587890625
83,2167.796875,2356.935546875,2192.521484375,2398.9296875,2360.7705078125,2333.3388671875,2378.486328125,2386.3857421875,2395.2900390625
84,2449.17578125,2706.3916015625,2576.2392578125,2773.7421875,2642.703125,2537.505859375,2262.1103515625,2291.0595703125,2431.49609375
85,2257.4208984375,2522.306640625,2399.8291015625,2615.55078125,2487.849609375,2407.2763671875,2543.8662109375,2619.6416015625,2620.21875
86,2176.4052734375,2468.7802734375,2421.3154296875,2551.560546875,2380.7607421875,2311.8232421875,2409.37109375,2455.162109375,2482.1484375
87,2341.5078125,2576.365234375,2516.6689453125,2714.65234375,2507.9755859375,2425.8173828125,2380.810546875,2557.8310546875,2589.7294921875
88,2352.9580078125,2549.4765625,2466.123046875,2582.09375,2589.1865234375,2476.3671875,2324.2490234375,2486.626953125,2491.53515625
89,2500.267578125,2507.859375,2440.4638671875,2703.576171875,2619.16796875,2569.298828125,2463.9501953125,2634.24609375,2705.0712890625
90,2210.7197265625,2564.5625,2500.828125,2632.2568359375,2347.654296875,2275.5927734375,2393.001953125,2609.9267578125,2671.1318359375
91,2279.4833984375,2512.79296875,2496.1318359375,2656.9462890625,2336.9560546875,2263.96484375,2313.57421875,2470.8359375,2555.26171875
92,2420.0361328125,2295.720703125,2404.9873046875,2500.826171875,2545.4482421875,2452.63671875,2508.302734375,2689.3330078125,2754.2587890625
93,2512.701171875,2402.0390625,2537.2470703125,2639.1669921875,2675.236328125,2452.2958984375,2310.6689453125,2438.9130859375,2483.5693359375
94,2308.798828125,2341.21484375,2440.2421875,2504.015625,2400.4072265625,2232.5185546875,2351.859375,2496.767578125,2598.634765625
95,2315.3740234375,2485.2978515625,2536.494140625,2629.009765625,2419.8203125,2325.35546875,2281.4921875,2418.060546875,2428.1826171875
96,2423.46875,2418.3701171875,2516.7890625,2450.8828125,2640.109375,2396.9775390625,2466.15625,2568.5595703125,2675.9755859375
97,2452.6533203125,2309.0078125,2464.2734375,2347.87890625,2586.4697265625,2423.7568359375,,,2555.798828125
98,2269.3857421875,2295.9296875,2448.6494140625,2336.80859375,2364.5146484375,2183.78515625,,,2504.6171875
99,2265.8359375,2443.4931640625,2595.4541015625,2495.6865234375,2449.3046875,2239.60546875,,,2671.994140625
100,2401.6064453125,2659.486328125,2781.5615234375,2639.845703125,2587.798828125,2318.048828125,2423.9814453125,2407.919921875,2534.48828125
101,2386.880859375,2518.2724609375,2613.837890625,2501.115234375,2593.0361328125,2369.8369140625,2515.1611328125,2522.1923828125,2683.369140625
102,2417.3798828125,2324.9990234375,2419.470703125,2310.025390625,2617.9658203125,2347.8916015625,2554.099609375,2449.408203125,2631.4306640625
103,2507.568359375,2452.33984375,2540.5068359375,2382.517578125,2788.4951171875,2415.884765625,2557.958984375,2460.1474609375,2708.3154296875
104,2422.2177734375,2500.1162109375,2575.3740234375,2398.6689453125,2601.6064453125,2416.341796875,2317.001953125,2280.5732421875,2492.4912109375
105,2347.935546875,2633.8125,2624.615234375,2523.0517578125,2516.6396484375,2362.0390625,2259.802734375,2149.591796875,2491.2861328125
106,2467.255859375,2533.0546875,2585.099609375,2469.2724609375,2702.033203125,2512.5751953125,2748.939453125,2560.912109375,2837.1123046875
107,2312.6279296875,2459.83203125,2441.9609375,2316.5498046875,2577.419921875,2474.26953125,2675.734375,2550.84375,2908.51171875
108,2443.4384765625,2613.0458984375,2575.8291015625,2519.298828125,2617.228515625,2485.33984375,2549.01171875,2437.32421875,2781.9482421875
109,2348.7470703125,2752.9697265625,2724.2451171875,2599.115234375,2521.2734375,2403.962890625,2692.306640625,2518.8427734375,2843.7451171875
110,2416.2958984375,2531.8583984375,2521.5830078125,2445.837890625,2576.8076171875,2511.908203125,2722.4287109375,2535.41015625,2894.9208984375
111,2239.77734375,2452.115234375,2425.177734375,2379.0654296875,2449.4453125,2342.6396484375,2643.5810546875,2435.37109375,2763.626953125
112,2118.826171875,2630.587890625,2625.23046875,2568.4404296875,2365.287109375,2329.572265625,2391.669921875,2237.673828125,2637.8837890625
113,2339.2041015625,2564.64453125,2602.51953125,2529.0791015625,2520.662109375,2623.283203125,2688.439453125,2451.5380859375,2844.771484375
114,2289.0234375,2748.326171875,2714.6796875,2589.5634765625,2457.2607421875,2532.8447265625,2578.458984375,2341.8330078125,2801.2001953125
115,2303.509765625,2539.4091796875,2478.2587890625,2420.6162109375,2480.328125,2567.0810546875,2500.06640625,2308.7529296875,2779.59765625
116,2324.0390625,2536.9853515625,2480.7412109375,2399.208984375,2492.3759765625,2541.57421875,2712.990234375,2537.68359375,2903.2109375
117,2284.6142578125,2677.271484375,2495.4931640625,2477.2373046875,2474.998046875,2551.9111328125,2517.66015625,2372.625,2761.8994140625
118,2126.986328125,2617.236328125,2468.4345703125,2405.6181640625,2286.1328125,2439.341796875,2497.443359375,2361.951171875,2795.8056640625
119,2266.1005859375,2636.8857421875,2470.0693359375,2458.6005859375,2387.4384765625,2503.7578125,2621.5263671875,2553.8427734375,2979.01171875
120,2340.8076171875,2649.787109375,2466.7275390625,2343.958984375,2506.1357421875,2660.400390625,2531.3564453125,2415.9833984375,2897.05859375
121,2285.138671875,2516.736328125,2382.125,2244.9541015625,2310.53125,2569.2666015625,2489.455078125,2407.24609375,2820.140625
122,2324.60546875,2849.009765625,2602.3828125,2495.4375,2337.232421875,2649.2705078125,2447.7392578125,2315.4462890625,2827.5751953125
123,2176.06640625,2609.3310546875,2401.8798828125,2296.017578125,2271.91015625,2457.2763671875,2379.7822265625,2241.9912109375,2745.708984375
124,2446.51171875,2747.7216796875,2591.1650390625,2514.4658203125,2412.306640625,2662.36328125,2537.2529296875,2514.6162109375,2947.890625
125,2227.1845703125,2834.380859375,2625.3701171875,2568.126953125,2311.7919921875,2512.576171875,2356.46484375,2330.80078125,2762.2998046875
126,2357.865234375,2578.650390625,2413.814453125,2369.2099609375,2366.8544921875,2539.0615234375,2415.0751953125,2377.8916015625,2790.57421875
127,2282.9296875,2780.4267578125,2586.3095703125,2586.1865234375,2325.9326171875,2516.9365234375,2214.8173828125,2152.474609375,2583.7119140625
128,2301.96875,2700.6279296875,2497.98828125,2482.1845703125,2357.595703125,2502.7734375,2235.2099609375,2222.1142578125,2585.2900390625
129,2314.8076171875,2529.4697265625,2413.69140625,2359.9775390625,2333.2255859375,2457.765625,2323.6318359375,2306.8125,2698.2294921875
130,2191.8916015625,2675.41015625,2503.77734375,2392.4482421875,2241.4833984375,2396.140625,2531.21484375,2565.1083984375,2977.0126953125
131,2284.4921875,2512.7890625,2425.28515625,2388.4921875,2410.677734375,2477.4345703125,2345.501953125,2368.7470703125,2782.8994140625
132,2425.9619140625,2621.3876953125,2576.341796875,2545.1826171875,2494.173828125,2578.8115234375,2338.89453125,2434.279296875,2811.142578125
133,2424.1513671875,2536.4033203125,2354.853515625,2379.3544921875,2501.8408203125,2595.6845703125,2410.3984375,2442.869140625,2793.10546875
134,2279.271484375,2608.6376953125,2449.7158203125,2510.4912109375,2445.0556640625,2443.525390625,2382.40234375,2421.443359375,2675.3681640625
135,2237.8857421875,2626.17578125,2479.373046875,2502.1796875,2430.9814453125,2419.669921875,2504.7607421875,2617.779296875,2829.34765625
136,2489.5859375,2678.134765625,2586.0634765625,2662.1044921875,2674.947265625,2635.849609375,2514.6328125,2590.634765625,2776.5361328125
137,2488.263671875,2587.57421875,2457.2685546875,2499.9697265625,2723.384765625,2682.5244140625,2423.0224609375,2495.197265625,2658.6962890625
138,2334.0927734375,2770.8408203125,2609.8837890625,2667.359375,2453.60546875,2449.0546875,2290.986328125,2298.4697265625,2396.7822265625
139,2514.861328125,2729.232421875,2605.2392578125,2675.546875,2619.6455078125,2591.861328125,2413.439453125,2477.9990234375,2473.306640625
140,2300.166015625,2826.82421875,2528.728515625,2644.7109375,2379.1025390625,2399.8232421875,2502.8193359375,2483.935546875,2520.72265625
141,2417.3125,2602.203125,2407.6376953125,2521.37890625,2577.6611328125,2519.21484375,2456.2041015625,2486.091796875,2452.033203125
142,2484.8828125,2618.7197265625,2444.087890625,2567.23828125,2585.1533203125,2525.4365234375,2436.71875,2423.869140625,2346.111328125
143,2564.0107421875,2601.3955078125,2380.5712890625,2586.4111328125,2693.826171875,2596.3076171875,2466.328125,2493.3203125,2421.431640625
144,2568.5595703125,2621.8310546875,2477.921875,2555.4580078125,2784.921875,2660.419921875,2394.75390625,2410.1884765625,2358.28125
145,2506.49609375,2623.3271484375,2459.927734375,2622.943359375,2716.904296875,2637.4814453125,2389.08203125,2386.1533203125,2288.96875
146,2481.158203125,2713.5791015625,2506.193359375,2662.2236328125,2656.5078125,2613.333984375,2599.1865234375,2560.6650390625,2494.318359375
147,2365.4130859375,2601.2734375,2422.5322265625,2543.025390625,2546.6318359375,2444.5390625,2661.53515625,2662.70703125,2498.4140625
148,2559.17578125,2682.1201171875,2593.5146484375,2666.1513671875,2835.2138671875,2766.630859375,2573.326171875,2566.16796875,2457.671875
