step,deepseek1.5b_sync_8gpu_lr3e-6-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_lr5e-6-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_lr1e-6-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_lr1e-6-training/rollout_actor_probs_pearson_corr_step
152,0.9987725615501404,0.9990839958190918,1,0.998226761817932,1,0.9982284903526306,0.9999999403953552,0.9997389316558838,0.9999998807907104,0.9999998807907104,0.998134195804596,0.9993252158164978
153,0.9987965822219848,0.9991843104362488,1,0.9982268810272216,0.9999998807907104,0.9982790350914,1,0.9996500015258788,0.9999998807907104,1,0.9984702467918396,0.9989861845970154
154,0.998822808265686,0.9990592002868652,1,0.998249888420105,1,0.9979177713394164,1,0.9997766017913818,1,0.9999998807907104,0.9982080459594728,0.999160885810852
155,0.9988890886306764,0.9991427063941956,1,0.9970925450325012,1,0.9991841316223145,1,0.9997153282165528,0.9999998807907104,0.9999998807907104,0.998467743396759,0.9992277026176452
156,0.9988365769386292,0.999223530292511,0.9999999403953552,0.998160719871521,1,0.9981602430343628,1,0.9997308254241944,1,0.9999998807907104,0.9981449842453004,0.9992372393608092
157,0.9987926483154296,0.9990831017494202,1,0.9980441927909852,1,0.9981752634048462,1,0.9997572302818298,0.9999998807907104,1,0.9983456134796144,0.9992292523384094
158,0.9987488985061646,0.9992151856422424,0.9999998807907104,0.9981318116188048,0.9999998807907104,0.9980703592300416,1,0.9997150301933287,0.9999998807907104,1,0.9982849955558776,0.9991828799247742
159,0.9987958073616028,0.9991984367370604,0.9999998807907104,0.998224437236786,0.9999998807907104,0.9982635378837584,1,0.999698042869568,1,1,0.998398780822754,0.9981884956359864
160,0.9987192749977112,0.9992451667785645,1,0.9981703758239746,1,0.9981038570404052,1,0.9997256994247437,1,1,0.9983475208282472,0.9988812804222108
161,0.9987067580223083,0.9991841912269592,1,0.9980168342590332,0.9999998807907104,0.9980301856994628,1,0.9997125864028932,1,0.9999998807907104,0.9983204007148744,0.9991727471351624
162,0.9988561272621156,0.9992393851280212,1,0.9980483651161194,1,0.9981681108474731,1,0.9997659921646118,1,0.9999998807907104,0.9982329607009888,0.9992624521255492
163,0.998734414577484,0.999269962310791,1,0.9982109665870668,1,0.9980619549751282,0.9999998807907104,0.9997754693031312,1,1,0.9983119368553162,0.9992242455482484
164,0.9986554980278016,0.9992399215698242,1,0.998087465763092,1,0.9979928731918336,1,0.999751627445221,1,1,0.9973919987678528,0.9991520643234252
165,0.998611867427826,0.9993301630020142,1,0.9980451464653016,0.9999998807907104,0.9980912208557128,1,0.9997481107711792,0.9999998807907104,1,0.9993529915809632,0.999455988407135
166,0.998619019985199,0.9992894530296326,1,0.9981685876846312,1,0.9980169534683228,1,0.9996585249900818,0.9999998807907104,1,0.998293161392212,0.9991424083709716
167,0.9986182451248168,0.9993261098861694,1,0.9980963468551636,0.9999998807907104,0.9979732632637024,1,0.9997124075889589,0.9999998807907104,1,0.99839848279953,0.999131202697754
168,0.9985581040382384,0.9992398619651794,1,0.9980257153511048,1,0.9979468584060668,1,0.9997020363807678,1,1,0.9983675479888916,0.999125063419342
169,0.998591423034668,0.9993597269058228,1,0.9979324340820312,1,0.9980465173721312,1,0.999594271183014,1,1,0.9982259273529052,0.9990522265434264
170,0.9985650777816772,0.9993464946746826,1,0.9979950785636902,1,0.9980030059814452,1,0.9995056390762328,1,1,0.9983224868774414,0.9990313053131104
171,0.9984386563301086,0.9993857145309448,1,0.9993748068809508,1,0.9978353977203368,1,0.9995726943016052,1,0.9999999403953552,0.9982597827911376,0.9990640878677368
172,0.9986857175827026,0.9993757009506226,0.9999999403953552,0.998002290725708,1,0.9979162812232972,1,0.999644935131073,1,1,0.9983311295509338,0.999051570892334
173,0.998448133468628,0.9993935227394104,1,0.9979603886604308,1,0.997828483581543,1,0.9996024966239928,0.9999998807907104,0.9999999403953552,0.9982377290725708,0.9989027380943298
174,0.9983917474746704,0.999444305896759,1,0.9978753328323364,0.9999999403953552,0.99778813123703,1,0.9995467066764832,0.9999998807907104,0.9999999403953552,0.998291015625,0.9990165829658508
175,0.9974119067192078,0.9994029998779296,1,0.9979731440544128,1,0.9971712231636048,1,0.9996957778930664,1,1,0.9981976747512816,0.9991368055343628
176,0.9993456602096558,0.9993720054626464,1,0.9977957606315612,1,0.9977335333824158,1,0.9995275735855104,0.9999998807907104,1,0.9981781840324402,0.9994218945503236
177,0.9983975291252136,0.9993866682052612,1,0.9979001879692078,1,0.9977512955665588,0.9999999403953552,0.9996898174285888,1,0.9999999403953552,0.9980400800704956,0.9990098476409912
178,0.9983783960342408,0.9994166493415833,1,0.9978922605514526,1,0.9977526664733888,0.9999999403953552,0.9996904134750366,1,1,0.9981845617294312,0.998991847038269
179,0.99930077791214,0.9993852376937866,1,0.9978846311569214,1,0.9976544976234436,1,0.9996850490570068,1,1,0.997989296913147,0.9989770650863647
180,0.9982672929763794,0.9993985295295716,1,0.9974294304847716,1,0.9975834488868712,1,0.9995958805084229,0.9999998807907104,1,0.998100221157074,0.9989497065544128
181,0.9982896447181702,0.9994608163833618,0.9999999403953552,0.9975756406784058,1,0.9976471662521362,1,0.999612271785736,1,0.9999998807907104,0.9990522861480712,0.998906910419464
182,0.9981393814086914,0.9994518756866456,1,0.997841477394104,1,0.997283399105072,1,0.9994964599609376,1,0.9999998807907104,0.998051941394806,0.9989383220672609
183,0.9981827139854432,0.999442219734192,1,0.9978051781654358,1,0.9976711869239808,1,0.9995743632316588,1,1,0.9980452060699464,0.9989094138145448
184,0.9981884956359864,0.9994246363639832,1,0.9978436827659608,1,0.9976940155029296,0.9999999403953552,0.9996607899665833,1,0.9999999403953552,0.9979429841041564,0.9988994002342224
185,0.998175084590912,0.9994258880615234,1,0.9979193210601808,1,0.9976656436920166,1,0.9995131492614746,1,0.9999999403953552,0.9979984760284424,0.9989224672317504
186,0.9982094168663024,0.999448835849762,1,0.9978327751159668,1,0.9976928234100342,1,0.9995644092559814,1,1,0.9979261755943298,0.9987247586250304
187,0.9980612993240356,0.9994115829467772,0.9999999403953552,0.997892439365387,0.9999999403953552,0.9977242350578308,1,0.9994896054267884,1,1,0.9968052506446838,0.998885691165924
188,0.9981189370155334,0.9994726181030272,1,0.9978176951408386,1,0.9976664781570436,0.9999998807907104,0.999593198299408,1,1,0.9979844093322754,0.9988659620285034
189,0.9980649948120116,0.999476671218872,1,0.9977140426635742,1,0.9975765943527222,1,0.9996843338012696,1,1,0.9978564381599426,0.998764157295227
190,0.9979930520057678,0.9994733929634094,1,0.9978256225585938,1,0.9976181983947754,1,0.9994773864746094,1,0.9999999403953552,0.9980072975158693,0.9988419413566588
191,0.9981497526168824,0.9994929432868958,0.9999999403953552,0.9977676272392272,0.9999999403953552,0.9977192282676696,1,0.9995328783988952,1,1,0.9980347752571106,0.998783528804779
192,0.9981371760368348,0.9994256496429444,1,0.997306764125824,1,0.9961583018302916,1,0.999446451663971,0.9999998807907104,0.9999999403953552,0.9978200793266296,0.9987444877624512
193,0.9980466365814208,0.9993900656700134,1,0.997803807258606,1,0.9975347518920898,1,0.99956613779068,1,1,0.9978914856910706,0.9987519979476928
194,0.9983314275741576,0.999439001083374,1,0.997675359249115,0.9999999403953552,0.9977366924285888,1,0.9995313286781312,1,0.9999999403953552,0.9978734850883484,0.9985076785087584
195,0.9981011748313904,0.999431312084198,1,0.9977716207504272,1,0.9980194568634032,0.9999998807907104,0.9994296431541444,1,0.9999999403953552,0.9978953003883362,0.998745858669281
196,0.998093605041504,0.9994300603866576,1,0.9977150559425354,1,0.9977413415908812,1,0.9995352029800416,1,1,0.997924506664276,0.9987178444862366
197,0.9979512691497804,0.9994531869888306,0.9999999403953552,0.9976490139961244,1,0.997671365737915,0.9999999403953552,0.9995517134666444,1,1,0.9978131055831908,0.9986674189567566
198,0.9989344477653505,0.9994704127311708,0.9999998807907104,0.997768223285675,1,0.9975651502609252,0.9999998807907104,0.9994255304336548,1,1,0.9978872537612916,0.9988006353378296
199,0.9979788064956664,0.999422013759613,1,0.997717261314392,1,0.997507095336914,0.9999998807907104,0.9994430541992188,1,0.9999999403953552,0.9977744817733764,0.9986560344696044
200,0.9980400204658508,0.999420702457428,1,0.9972546696662904,0.9999999403953552,0.9974844455718994,1,0.9994992017745972,1,1,0.9973906874656676,0.9985798001289368
201,0.9979262948036194,1,0.9999998807907104,0.9975810647010804,1,0.9976682662963868,1,0.9995148181915284,1,1,0.9978913068771362,0.998636782169342
202,0.9979888200759888,0.9993829131126404,0.9999998807907104,0.9976698756217957,0.9999999403953552,0.9975685477256776,0.9999998807907104,0.9994904398918152,1,0.9999999403953552,0.9978532791137696,0.9986636638641356
203,0.9978778958320618,0.9994580149650574,1,0.9976080656051636,0.9999999403953552,0.9974746704101562,1,0.9993925094604492,1,1,0.9977976083755492,0.9985454082489014
204,0.9979932904243468,0.9994298219680786,0.9999998807907104,0.997314453125,0.9999999403953552,0.9974889755249025,1,0.999501407146454,1,1,0.9977970719337464,0.998670220375061
205,0.9978927373886108,0.9994428753852844,1,0.9975971579551696,1,0.9990223050117492,0.9999998807907104,0.9993817210197448,1,0.9999999403953552,0.9978252053260804,0.9994571805000304
206,0.9978750348091124,0.9994271397590636,1,0.997698962688446,0.9999999403953552,0.997460663318634,1,0.9993738532066344,1,1,0.9977452158927916,0.998763382434845
207,0.9978420734405518,0.9993931651115416,1,0.9975937604904176,1,0.9974621534347534,1,0.999470055103302,1,0.9999999403953552,0.9978472590446472,0.99856299161911
208,0.9978877902030944,0.9985159039497375,1,0.9975754022598268,1,0.9974524974822998,1,0.999601185321808,1,1,0.9978691935539246,0.9985586404800416
209,0.99794203042984,0.9994343519210817,1,0.9976837038993835,0.9999999403953552,0.9974876046180724,0.9999998807907104,0.9995211958885192,1,0.9999999403953552,0.997812807559967,0.9985466003417968
210,0.9978042840957642,0.9994608163833618,1,0.9989469051361084,0.9999999403953552,0.9973884224891664,0.9999999403953552,0.9994919896125792,0.9999998807907104,1,0.9977660179138184,0.9985381364822388
211,0.9977754950523376,0.9993983507156372,1,0.9976357221603394,1,0.997434675693512,1,0.99934184551239,1,0.9999999403953552,0.9979140162467957,0.9985349774360656
212,0.997814416885376,0.9994040131568908,1,0.9975125193595886,1,0.997290313243866,0.9999998807907104,0.99953430891037,1,1,0.997836709022522,0.9984950423240662
213,0.9981796145439148,0.9994457960128784,0.9999998807907104,0.9974964261054992,1,0.997718095779419,1,0.9995126128196716,1,1,0.9959657192230223,0.9972151517868042
214,0.997753381729126,0.9993982911109924,1,0.9975072741508484,1,0.9972601532936096,1,0.9994522929191588,1,1,0.9977880716323853,0.9984642267227172
215,0.9977877736091614,0.9994107484817504,0.9999998807907104,0.9975160360336304,1,0.9974172711372375,0.9999999403953552,0.9995826482772828,1,1,0.9977256655693054,0.9984620213508606
216,0.998158872127533,0.999422550201416,1,0.9974403977394104,1,0.9972702264785768,1,0.9995930194854736,0.9999998807907104,0.9999999403953552,0.9978377223014832,0.9983678460121156
217,0.9977090358734132,0.999458074569702,1,0.997467041015625,0.9999999403953552,0.9971883296966552,0.9999999403953552,0.9996333718299866,1,1,0.9965087175369264,0.9993388056755066
218,0.9976295232772828,0.9993432760238647,1,0.9975205659866332,0.9999999403953552,0.997353971004486,0.9999999403953552,0.9994503259658812,1,1,0.997777223587036,0.998338222503662
219,0.9977351427078248,0.9994006752967834,1,0.9975168108940125,1,0.9973185062408448,1,0.9995871186256408,1,1,0.9978253841400146,0.9983227252960204
220,0.9976446628570556,0.999388575553894,1,0.9974693655967712,1,0.9984184503555298,0.9999999403953552,0.9995013475418092,1,1,0.9978644847869872,0.9994487762451172
221,0.9976937770843506,0.9998656511306764,0.9999998807907104,0.9974991083145142,1,0.9976741075515748,0.9999999403953552,0.9995477795600892,1,0.9999999403953552,0.9978166222572328,0.9982659816741944
222,0.9976373910903932,0.9986688494682312,1,0.9974634051322936,1,0.997191607952118,1,0.9995571970939636,1,1,0.9978088140487672,0.9982651472091676
223,0.997687816619873,0.9986963868141174,0.9999998807907104,0.9974544644355774,1,0.9953753352165222,0.9999999403953552,0.9996358752250672,0.9999998807907104,1,0.9979289770126344,0.9981996417045592
224,0.9960739016532898,0.9993630647659302,0.9999998807907104,0.997455894947052,0.9999999403953552,0.9965863823890686,0.9999999403953552,0.999424397945404,0.9999998807907104,1,0.9978622794151306,0.9981139302253724
225,0.9976927638053894,0.9992992877960204,1,0.99750417470932,1,0.9971482157707214,1,0.9994685053825378,0.9999998807907104,1,0.9965453743934632,0.9981611967086792
226,0.9977349638938904,0.9993155002593994,1,0.997270166873932,1,0.9972034096717834,0.9999999403953552,0.999574899673462,1,1,0.998041808605194,0.9981296062469482
227,0.9975489974021912,0.999265730381012,1,0.9973717331886292,1,0.9971925020217896,1,0.99957937002182,1,1,0.9979130625724792,0.9981319308280944
228,0.9974789023399352,0.9992948770523072,1,0.9975614547729492,0.9999999403953552,0.997615933418274,0.9999999403953552,0.9995678067207336,0.9999998807907104,1,0.997929573059082,0.9981819987297058
229,0.9975563883781432,0.99928081035614,1,0.9974889159202576,0.9999999403953552,0.997466504573822,1,0.9994946718215942,1,1,0.9979018568992616,0.9980736970901488
230,0.9975968599319458,0.999377191066742,0.9999999403953552,0.9973834156990052,1,0.9969595074653624,1,0.999502658843994,1,1,0.9968121647834778,0.9981056451797484
231,0.997154951095581,0.999308168888092,1,0.9974063038825988,1,0.9971286654472352,0.9999998807907104,0.9995102286338806,1,1,0.9978808164596558,0.9981247186660768
232,0.997711718082428,0.9993054270744324,0.9999998807907104,0.9974485039711,0.9999999403953552,0.997104823589325,1,0.9995266199111938,1,0.9999999403953552,0.9979101419448853,0.998140275478363
233,0.9975617527961732,0.9992661476135254,1,0.9973191618919371,0.9999999403953552,0.9970608949661256,1,0.999520778656006,0.9999998807907104,1,0.997780978679657,0.9980224967002868
234,0.9990121126174928,0.9993584156036376,1,0.9959574937820436,1,0.9971698522567748,0.9999998807907104,0.9995515942573548,1,1,0.9978225827217102,0.998008668422699
235,0.9974542856216432,0.9988047480583192,0.9999999403953552,0.9969783425331116,1,0.9974713325500488,1,0.9995336532592772,1,1,0.99773770570755,0.9981033802032472
236,0.9975152611732484,0.9993560910224916,1,0.9976918697357178,1,0.9975910186767578,0.9999998807907104,0.9995145797729492,0.9999998807907104,1,0.9977561235427856,0.9979783892631532
237,0.997501790523529,0.9993617534637452,1,0.9974172115325928,1,0.9971210956573486,1,0.9995574355125428,0.9999998807907104,1,0.9978768825531006,0.9980027079582214
238,0.9976456761360168,0.9993064403533936,0.9999999403953552,0.9970244765281676,0.9999999403953552,0.9953429698944092,1,0.999600887298584,1,1,0.9979048371315002,0.9993003010749816
239,0.9976248145103456,0.9993651509284972,1,0.9974905848503112,1,0.997188687324524,1,0.9995713233947754,1,1,0.9979148507118224,0.9979667067527772
240,0.9975380897521972,0.9993434548377992,1,0.9972830414772034,0.9999999403953552,0.9972058534622192,1,0.9994012713432312,1,0.9999999403953552,0.9977827668190002,0.9980123043060304
241,0.997585654258728,0.999316930770874,0.9999998807907104,0.9972904920578004,1,0.9971209764480592,0.9999999403953552,0.999596118927002,0.9999998807907104,0.9999999403953552,0.9976771473884584,0.9978251457214355
242,0.9973965287208556,0.9993494749069214,1,0.9973558783531188,1,0.9970609545707704,0.9999999403953552,0.999610424041748,1,1,0.9978632926940918,0.9979013800621032
243,0.9974983930587769,0.9993264079093932,1,0.997424066066742,1,0.9953033924102784,1,0.9996314644813538,0.9999998807907104,1,0.9978357553482056,0.9978802800178528
244,0.9973946213722228,0.9993246793746948,1,0.9973546266555786,0.9999999403953552,0.9969338774681092,1,0.9995539784431458,1,1,0.9978057742118835,0.9979341626167296
245,0.9975153207778932,0.99928218126297,1,0.9976643919944764,1,0.9970809817314148,1,0.9994876980781556,1,0.9999999403953552,0.998042106628418,0.9978360533714294
246,0.9974951148033142,0.9993140697479248,1,0.9973065257072448,0.9999999403953552,0.9969915151596068,1,0.9995813965797424,1,1,0.9977393746376038,0.9978725910186768
247,0.99755597114563,0.9993355870246888,1,0.9972800612449646,1,0.996984362602234,1,0.999566376209259,0.9999998807907104,0.9999999403953552,0.9977582693099976,0.9978846311569214
248,0.9974562525749208,0.9993390440940856,0.9999998807907104,0.997738242149353,0.9999999403953552,0.9970927238464355,0.9999998807907104,0.9995171427726746,1,1,0.997738003730774,0.9977785348892212
249,0.997412919998169,0.9993107318878174,1,0.9973869323730468,1,0.9970549941062928,1,0.9995564818382264,1,1,0.998836636543274,0.9977802038192748
250,0.9974387288093568,0.9994927644729614,0.9999999403953552,0.9967960119247437,1,0.996915638446808,1,0.999504029750824,1,1,0.9978068470954896,0.9977024793624878
251,0.9973438382148744,0.999248504638672,1,0.996662974357605,1,0.996958076953888,1,0.9995197057724,0.9999998807907104,1,0.997657060623169,0.9977054595947266
252,0.9974085688591005,0.9993525147438048,0.9999998807907104,0.9971925020217896,1,0.996938943862915,0.9999998807907104,0.9994710087776184,1,1,0.9981874227523804,0.9977474808692932
253,0.9974408745765686,0.9993326663970948,1,0.997290015220642,1,0.9969225525856018,1,0.9995552897453308,0.9999998807907104,0.9999999403953552,0.9976869225502014,0.9977903366088868
254,0.9973992109298706,0.9992859959602356,1,0.9972150921821594,1,0.996903657913208,1,0.9995819330215454,1,1,0.997650146484375,0.9976363182067872
255,0.997258722782135,0.9993446469306946,1,0.9973771572113036,1,0.9964905381202698,1,0.999538004398346,1,0.9999999403953552,0.9961895942687988,0.9975879192352296
256,0.9973428249359132,0.9993438124656676,1,0.9972499012947084,1,0.9969242215156556,0.9999999403953552,0.9995854496955872,1,1,0.9978131651878356,0.9977791905403136
257,0.9972702264785768,0.999344289302826,1,0.9970847964286804,1,0.9969528317451476,0.9999999403953552,0.999531090259552,0.9999998807907104,1,0.9976927638053894,0.9976603388786316
258,0.9971452951431274,0.9993528723716736,1,0.997269093990326,1,0.9970108866691588,0.9999999403953552,0.9995474219322203,1,0.9999999403953552,0.9976020455360411,0.9978551864624025
259,0.997352659702301,0.9993390440940856,1,0.9971805214881896,1,0.9968963265419006,0.9999999403953552,0.9995286464691162,0.9999998807907104,1,0.9962247014045716,0.997658908367157
260,0.9973918795585632,0.9993025660514832,1,0.9973223209381104,1,0.9971272349357604,1,0.9995840787887572,1,1,0.9977330565452576,0.9977819919586182
261,0.9972622990608216,0.9992991089820862,1,0.9972346425056458,0.9999999403953552,0.9969387650489808,0.9999999403953552,0.999599814414978,1,1,0.997898280620575,0.9977595806121826
262,0.9970540404319764,0.999281644821167,0.9999999403953552,0.9973189830780028,0.9999999403953552,0.9968571662902832,1,0.9995802044868468,1,0.9999999403953552,0.9975717067718506,0.9976286292076112
263,0.997301459312439,0.999323070049286,0.9999999403953552,0.9973337650299072,1,0.9974678158760072,0.9999999403953552,0.9996408224105836,0.9999998807907104,0.9999999403953552,0.9979862570762634,0.9975325465202332
264,0.9970964193344116,0.9993051886558532,1,0.9972872138023376,1,0.9969093799591064,0.9999998807907104,0.9995994567871094,1,0.9999999403953552,0.9976171851158142,0.9992021918296814
265,0.9972317218780518,0.9993373155593872,1,0.997323513031006,1,0.996773600578308,1,0.999605119228363,1,1,0.9976395964622498,0.9977022409439088
266,0.9978138208389282,0.9992561340332032,1,0.9971640706062316,1,0.9968342185020448,1,0.9995481967926024,1,0.9999999403953552,0.997430145740509,0.9975100755691528
267,0.997297465801239,0.9992711544036864,1,0.9971759915351868,0.9999999403953552,0.9967119097709656,1,0.999587059020996,1,1,0.9974666833877563,0.9975968599319458
268,0.9973220229148864,0.999258041381836,1,0.9971698522567748,1,0.9983397126197816,1,0.999585747718811,1,1,0.9975433945655824,0.997717261314392
269,0.997198224067688,0.9993039965629578,1,0.997241199016571,1,0.9968968033790588,1,0.9995484948158264,1,1,0.997622847557068,0.9976412653923036
270,0.99716317653656,0.9992600679397584,1,0.9971082210540771,0.9999999403953552,0.9968001246452332,1,0.9995408058166504,1,0.9999999403953552,0.9974393844604492,0.9976282715797424
271,0.997240662574768,0.999283492565155,0.9999999403953552,0.9971455931663512,1,0.9967858195304872,1,0.9995903372764589,1,1,0.9974834322929382,0.9975247979164124
272,0.9972196817398072,0.9992316961288452,1,0.9972246885299684,1,0.99685800075531,1,0.9995985627174376,0.9999999403953552,1,0.997506618499756,0.9975059628486632
273,0.997077465057373,0.999204695224762,0.9999999403953552,0.996894598007202,1,0.996706247329712,1,0.9995519518852234,0.9999999403953552,1,0.9972549676895142,0.9974410533905028
274,0.997154414653778,0.9991730451583862,1,0.9971497654914856,1,0.9966359734535216,1,0.999575674533844,1,1,0.9973506331443788,0.997542679309845
275,0.9971771240234376,0.9992954730987548,0.9999999403953552,0.9971257448196412,1,0.996711015701294,1,0.9996196031570436,1,1,0.9975170493125916,0.9976896047592164
276,0.9971232414245604,0.9993215203285216,1,0.997181236743927,1,0.996660590171814,0.9999998807907104,0.9996026158332824,1,1,0.9974705576896667,0.9974388480186462
277,0.9973738789558412,0.9993301630020142,1,0.9971245527267456,1,0.9968663454055786,0.9999998807907104,0.9995884895324708,1,1,0.9974336624145508,0.997581422328949
278,0.9971408247947692,0.999309241771698,1,0.997164785861969,1,0.9967739582061768,1,0.9996047019958496,1,1,0.9973169565200806,0.9975144863128662
279,0.9971337914466858,0.9992991089820862,1,0.9972492456436156,1,0.9966188669204712,1,0.9995756149291992,1,0.9999999403953552,0.9973299503326416,0.9974886775016784
280,0.9970174431800842,0.9993039965629578,1,0.9968052506446838,0.9999999403953552,0.996674120426178,1,0.9996200203895568,0.9999999403953552,1,0.99708753824234,0.9978393912315368
281,0.9969095587730408,0.9993352890014648,1,0.9970851540565492,1,0.9966265559196472,0.9999999403953552,0.9996511340141296,0.9999999403953552,1,0.9974673986434937,0.997662365436554
282,0.9972441792488098,0.9992997646331788,0.9999999403953552,0.9971169829368592,1,0.9966248273849488,0.9999999403953552,0.9995958805084229,0.9999999403953552,1,0.9973002672195436,0.9975441694259644
283,0.9972267746925354,0.999300181865692,1,0.9971010088920592,0.9999999403953552,0.996795415878296,1,0.999603807926178,0.9999999403953552,1,0.9974992871284484,0.9976125955581664
284,0.9971441626548768,0.9993361830711364,1,0.9971998929977416,1,0.9966560006141664,1,0.9996445178985596,1,1,0.997254192829132,0.9973689913749696
285,0.9971364736557008,0.9993329644203186,1,0.9976722598075868,1,0.9966439604759216,1,0.9996233582496644,1,1,0.9974349737167358,0.9976221323013306
286,0.997134804725647,0.9993484616279602,0.9999999403953552,0.9971387982368468,0.9999999403953552,0.9966025352478028,1,0.9995818734169006,0.9999999403953552,1,0.997565507888794,0.99748694896698
287,0.9971486330032348,0.9994275569915771,0.9999999403953552,0.9971431493759156,1,0.9965185523033142,1,0.9995772838592528,1,1,0.9974676966667176,0.9975960850715636
288,0.9971092939376832,0.9993515014648438,1,0.9990277886390686,0.9999999403953552,0.9963946342468262,1,0.9996336102485656,1,1,0.9974018931388856,0.9974752068519592
289,0.997702658176422,0.99939227104187,0.9999999403953552,0.9971857070922852,0.9999999403953552,0.9965060353279114,0.9999998807907104,0.99957275390625,1,1,0.9973995089530944,0.9975218772888184
290,0.9971044659614564,0.9994205236434937,0.9999999403953552,0.9971965551376344,1,0.9981955885887146,1,0.9996060132980348,0.9999999403953552,1,0.99751877784729,0.9975459575653076
291,0.9970676302909852,0.999422013759613,0.9999999403953552,0.9975658059120178,1,0.9966024160385132,1,0.999663472175598,0.9999999403953552,1,0.9972696900367736,0.9974558353424072
292,0.996861219406128,0.9995055198669434,0.9999999403953552,0.99714195728302,1,0.9965549111366272,0.9999999403953552,0.9996660947799684,0.9999999403953552,1,0.9972383379936218,0.997408092021942
293,0.9970782995224,0.9994117617607116,1,0.9966822862625122,1,0.9964197278022766,1,0.9996376633644104,1,1,0.99749755859375,0.997507095336914
294,0.9987393617630004,0.9994684457778932,1,0.9971872568130492,1,0.9965836405754088,1,0.9996610283851624,1,1,0.997441828250885,0.997499942779541
295,0.9970538020133972,0.9994962215423584,1,0.9971303939819336,1,0.9966269731521606,1,0.9996057748794556,1,1,0.9972668886184692,0.9974820017814636
296,0.99714994430542,0.999478280544281,1,0.9970331788063048,1,0.9965636134147644,0.9999998807907104,0.9996574521064758,1,1,0.9973360896110536,0.9985509514808656
297,0.9974947571754456,0.9994542002677916,1,0.9972086548805236,0.9999999403953552,0.9965025782585144,1,0.999657928943634,0.9999999403953552,1,0.9975250959396362,0.9975032806396484
298,0.9969651699066162,0.9994538426399232,1,0.9970559477806092,1,0.9965556859970092,0.9999999403953552,0.9996415376663208,1,1,0.997338593006134,0.9976314306259156
299,0.9969671964645386,0.9994400143623352,1,0.9970390200614928,1,0.9963827133178712,1,0.9995883107185364,1,0.9999999403953552,0.9974998235702516,0.9973562359809875
300,0.9971045255661012,0.9994577169418336,1,0.997202455997467,1,0.9966328144073486,1,0.9996660351753236,0.9999999403953552,1,0.9973998665809632,0.99755859375
